PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
1626166,Cameron Payne,1610612755,PHI,16,8,8,273.0,21,56,0.375,57,15,44,0.341,0.509
1627747,Caris LeVert,1610612765,DET,49,35,14,953.0,33,101,0.327,85,19,58,0.328,0.421
1642868,Carter Bryant,1610612759,SAS,59,46,13,620.0,5,21,0.238,12,2,9,0.222,0.286
1641717,Cason Wallace,1610612760,OKC,67,52,15,1826.0,27,77,0.351,68,14,43,0.326,0.442
1642907,Cedric Coward,1610612763,MEM,54,19,35,1403.0,43,120,0.358,106,20,55,0.364,0.442
1643052,Chaney Johnson,1610612751,BKN,6,1,5,123.0,0,2,0.0,0,0,1,0.0,0.0
1629646,Charles Bassey,1610612738,BOS,4,1,3,37.0,0,0,,0,,,,
1642404,Chaz Lanier,1610612765,DET,25,21,4,193.0,3,13,0.231,6,0,5,0.0,0.231
1631096,Chet Holmgren,1610612760,OKC,60,48,12,1759.0,54,124,0.435,115,7,28,0.25,0.464
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,0,2,0.0,0,0,1,0.0,0.0
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,0,0,,0,0,0,,
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,0,0,,0,0,0,,
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,11,38,0.289,29,7,19,0.368,0.382
1642959,Chris Youngblood,1610612757,POR,32,27,5,174.0,2,7,0.286,5,1,4,0.25,0.357
1631128,Christian Braun,1610612743,DEN,34,19,15,1088.0,8,29,0.276,20,4,14,0.286,0.345
1631132,Christian Koloko,1610612737,ATL,23,13,10,314.0,1,1,1.0,2,0,0,,1.0
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,0,2,0.0,0,0,1,0.0,0.0
203991,Clint Capela,1610612745,HOU,62,37,25,776.0,0,1,0.0,0,,,,0.0
1629632,Coby White,1610612766,CHA,39,21,18,1043.0,55,166,0.331,144,34,110,0.309,0.434
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,0,2,0.0,0,0,1,0.0,0.0
1642262,Cody Williams,1610612762,UTA,56,15,41,1244.0,16,44,0.364,32,0,8,0.0,0.364
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,0,0,,0,0,0,,
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,41,100,0.41,90,8,27,0.296,0.45
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,0,0,,0,,,,
1631221,Collin Gillespie,1610612756,PHX,69,38,31,1998.0,145,383,0.379,379,89,252,0.353,0.495
1642867,Collin Murray-Boyles,1610612761,TOR,47,25,22,1046.0,2,7,0.286,5,1,1,1.0,0.357
1629012,Collin Sexton,1610612741,CHI,56,22,34,1275.0,54,156,0.346,134,26,79,0.329,0.429
1642843,Cooper Flagg,1610612742,DAL,58,19,39,1946.0,121,352,0.344,274,32,110,0.291,0.389
1630557,Corey Kispert,1610612737,ATL,48,21,27,933.0,14,41,0.341,37,9,29,0.31,0.451
1642504,Cormac Ryan,1610612749,MIL,1,0,1,8.0,0,0,,0,0,0,,
1641854,Craig Porter Jr.,1610612739,CLE,58,39,19,1024.0,32,81,0.395,80,16,43,0.372,0.494
1642938,Curtis Jones,1610612743,DEN,6,4,2,31.0,0,3,0.0,0,0,3,0.0,0.0
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,44,118,0.373,103,15,54,0.278,0.436
1641747,DaRon Holmes II,1610612743,DEN,19,11,8,194.0,1,1,1.0,3,1,1,1.0,1.5
1631342,Daeqwon Plowden,1610612758,SAC,22,6,16,545.0,4,8,0.5,9,1,5,0.2,0.563
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,1,1,1.0,2,,,,1.0
1631207,Dalen Terry,1610612755,PHI,44,19,25,515.0,5,13,0.385,14,4,8,0.5,0.538
1642261,Dalton Knecht,1610612747,LAL,48,29,19,509.0,20,44,0.455,44,4,17,0.235,0.5
