PLAYERID,FIRSTNAME,LASTNAME,TEAMID,TEAMABBREVIATION,TEAMNAME,TEAMCITY,FRAMES,GRAVITYSCORE,AVGGRAVITYSCORE,ONBALLPERIMETERFRAMES,ONBALLPERIMETERGRAVITYSCORE,AVGONBALLPERIMETERGRAVITYSCORE,OFFBALLPERIMETERFRAMES,OFFBALLPERIMETERGRAVITYSCORE,AVGOFFBALLPERIMETERGRAVITYSCORE,ONBALLINTERIORFRAMES,ONBALLINTERIORGRAVITYSCORE,AVGONBALLINTERIORGRAVITYSCORE,OFFBALLINTERIORFRAMES,OFFBALLINTERIORGRAVITYSCORE,AVGOFFBALLINTERIORGRAVITYSCORE,GAMESPLAYED,MINUTES,PTS,REB,AST
1642348,Justin,Edwards,1610612755,PHI,76ers,Philadelphia,114337,1.8565098039,1.1187409,10936,0.3745882352,0.4041367,84365,2.531,1.8789029,2447,-8.3760980392,-8.5082938,16589,-8.2984313725,-6.0486755,51,16.0,6.4,1.7,1.4
203084,Harrison,Barnes,1610612759,SAS,Spurs,San Antonio,235463,1.13934375,0.9081703,21928,-2.14090625,-1.4310441,158097,3.153609375,2.7770933,7813,-11.35146875,-9.0231637,47625,-9.04453125,-8.5121015,64,26.5,10.1,2.9,2.1
1629611,Terance,Mann,1610612751,BKN,Nets,Brooklyn,213333,1.2699827586,0.901597,40558,-1.8933793103,-2.0928387,129895,4.4293103448,4.0867044,10056,-19.7788793103,-18.3917671,32824,-15.8213103448,-13.7197742,58,24.4,7.3,3.2,3.1
1629640,Keldon,Johnson,1610612759,SAS,Spurs,San Antonio,231614,0.9700144927,0.8344017,18980,-0.8398115942,-1.1396375,157939,2.4294637681,2.3083767,12136,-4.7162173913,-4.3476952,42559,-4.3229275362,-3.395403,69,23.2,12.7,5.4,1.3
1629731,Dean,Wade,1610612739,CLE,Cavaliers,Cleveland,165899,0.7020925925,0.8288788,9265,2.1542962962,3.2313555,118969,1.5941111111,2.1931265,3494,-13.1090185185,-12.8522441,34171,-10.5586481481,-8.6936878,54,22.4,5.9,4.3,1.5
203471,Dennis,Schröder,1610612739,CLE,Cavaliers,Cleveland,212533,0.5693559322,0.8164337,68532,-1.4944067796,-0.5343819,114083,3.7147457627,3.9894692,13077,-16.7648135593,-16.6822113,16841,-12.827898305,-10.5398807,59,25.0,11.4,2.8,5.0
1630200,Tre,Jones,1610612741,CHI,Bulls,Chicago,198185,1.0501730769,0.8128386,46316,1.2308461538,1.5035749,115859,3.5123076923,3.2398894,15348,-12.6946153846,-14.590758,20662,-10.228326923,-10.9343813,52,27.0,12.9,2.9,5.3
1628970,Miles,Bridges,1610612766,CHA,Hornets,Charlotte,332372,0.5598307692,0.7978091,44406,-1.8908923076,-0.2506331,215336,3.3035538461,3.358671,15496,-11.0223384615,-8.475704,57134,-10.5251076923,-9.864245,65,31.6,17.4,5.9,3.3
1630551,Justin,Champagnie,1610612764,WAS,Wizards,Washington,170720,1.3342931034,0.7344709,9033,1.2665344827,1.8707054,113989,3.1010689655,2.5551965,4458,-6.9895172413,-7.6635051,43240,-7.4050172413,-7.3383974,58,19.8,8.5,5.7,1.1
1642844,Dylan,Harper,1610612759,SAS,Spurs,San Antonio,173218,0.4218035714,0.6648232,45993,-0.1251785714,0.6486527,95715,3.4464464285,3.4122796,12199,-13.4518035714,-14.0340478,19311,-11.5327678571,-11.6318544,56,22.2,11.1,3.4,3.9
1641783,Tristan,da Silva,1610612753,ORL,Magic,Orlando,212529,0.5606129032,0.6646263,16378,0.6557096774,1.0605981,151302,1.6009032258,1.7664491,5191,-9.9943709677,-9.0466626,39658,-7.9378548387,-7.7922951,62,24.4,9.4,3.8,1.5
1642874,Danny,Wolf,1610612751,BKN,Nets,Brooklyn,160046,0.5973636363,0.6523358,20727,1.8603818181,1.1921696,102401,2.290290909,2.7231143,7331,-13.7445636363,-15.5769135,29587,-13.1251090909,-13.2834631,55,21.0,8.9,4.9,2.3
1631321,Sidy,Cissoko,1610612757,POR,Trail Blazers,Portland,198775,0.9629365079,0.6513968,14461,-1.873079365,-1.1715035,143356,2.1443333333,1.8527406,5594,-13.8133492063,-14.1290992,35364,-11.1736825396,-12.5191948,63,20.7,5.7,2.3,1.5
202699,Tobias,Harris,1610612765,DET,Pistons,Detroit,198681,0.55974,0.519128,20412,1.12158,0.7863414,124031,2.4312,2.409837,13354,-9.72106,-8.789815,40884,-8.75144,-6.7410995,50,28.0,13.0,5.2,2.3
1642363,Nique,Clifford,1610612758,SAC,Kings,Sacramento,211865,0.1904090909,0.4981599,25533,-2.6057727272,-2.1835538,154353,1.6376818181,2.0198757,7715,-8.1593181818,-8.7763193,24264,-7.9174696969,-7.7631226,66,23.8,7.8,3.6,2.1
1630598,Aaron,Wiggins,1610612760,OKC,Thunder,Oklahoma City,171541,0.2587222222,0.3349752,25754,-1.3958703703,0.2113103,108607,2.7231111111,2.6798294,7447,-12.8089629629,-13.3894859,29733,-11.055,-9.7726436,54,23.1,10.0,3.4,1.8
1642278,Tyler,Kolek,1610612752,NYK,Knicks,New York,107799,3.0816470588,0.3340761,31029,3.5189019607,2.5291733,58563,4.8341372549,2.9012343,6046,-14.0750588235,-18.6044831,12161,-8.7285686274,-15.4732332,51,12.5,4.3,1.7,2.8
1630578,Alperen,Sengun,1610612745,HOU,Rockets,Houston,300040,-0.226559322,0.2901533,53221,-0.2089322033,0.822385,104621,1.6753050847,2.4980315,42182,-6.0570847457,-5.2508897,100016,-5.5252203389,-4.7229713,59,33.5,20.3,8.9,6.1
1631222,Jake,LaRavia,1610612747,LAL,Lakers,Los Angeles,236089,0.2070857142,0.2066059,20023,-3.4761571428,-2.7949666,169014,1.5296142857,1.5297053,7567,-10.6705857142,-11.2908193,39485,-9.3424,-10.3325533,70,24.7,8.6,3.9,1.8
1630643,Jay,Huff,1610612754,IND,Pacers,Indiana,213729,-0.0490289855,0.1457085,14814,5.8408550724,5.3730018,119687,1.0513768115,1.5760994,5197,-6.3586231884,-5.6002657,74031,-5.4746811594,-4.7222245,69,20.8,9.5,3.8,1.3
1631248,Baylor,Scheierman,1610612738,BOS,Celtics,Boston,170804,0.04915625,0.1016339,10977,-2.398203125,-3.410885,136721,0.982984375,1.240414,3176,-11.860640625,-18.6182704,19930,-10.372,-9.8188955,64,17.5,4.9,3.5,1.3
1641717,Cason,Wallace,1610612760,OKC,Thunder,Oklahoma City,249676,-0.003090909,0.0983018,29255,-0.1828030303,-0.4104364,158985,2.9164848484,2.814962,10325,-16.7790454545,-17.4922286,51111,-14.4066212121,-13.8309715,66,27.3,8.7,3.1,2.8
1642962,Drake,Powell,1610612751,BKN,Nets,Brooklyn,147674,-0.054076923,0.096369,20012,-2.9277115384,-1.4294577,105075,1.5940961538,1.8458437,4479,-17.0480192307,-17.267131,18108,-10.9170384615,-12.0894942,52,19.4,6.1,1.6,1.4
1628389,Bam,Adebayo,1610612748,MIA,Heat,Miami,248797,-0.0827833333,0.0729381,24077,-1.58915,-1.5749472,102630,3.1309333333,3.425633,23112,-9.80575,-12.1193155,98978,-7.7806666666,-7.0085754,60,31.8,19.1,9.8,2.9
1641730,Noah,Clowney,1610612751,BKN,Nets,Brooklyn,253623,0.2472419354,0.0149114,22284,0.0090967741,1.1954856,186116,1.458548387,1.1843265,8408,-10.3684354838,-13.5652363,36815,-10.1038225806,-10.0707842,62,27.4,12.5,4.1,1.7
203944,Julius,Randle,1610612750,MIN,Timberwolves,Minnesota,303138,-0.099231884,-0.0191581,53061,1.7306521739,2.1908364,163106,0.8703188405,1.0888029,32951,-5.0177246376,-5.4965949,54020,-4.255115942,-4.4512474,69,32.9,21.1,6.9,5.1
1626220,Royce,O'Neale,1610612756,PHX,Suns,Phoenix,294401,0.2159130434,-0.0199929,30379,-3.3675217391,-3.3249829,235716,1.7907681159,1.5678426,4864,-30.6088985507,-32.9200725,23442,-25.2637971014,-25.2865248,69,29.1,9.9,4.8,2.8
1630611,Gui,Santos,1610612744,GSW,Warriors,Golden State,150620,-0.0916896551,-0.0281721,16965,-2.4903793103,-2.8861904,88773,3.2453275862,3.9964017,7751,-11.9525344827,-15.6104061,37131,-12.8427413793,-15.0840585,58,19.0,8.2,3.8,2.1
202696,Nikola,Vučević,1610612738,BOS,Celtics,Boston,254985,-0.2486779661,-0.0996105,27877,3.4256101694,4.3047105,123178,1.1807966101,1.3803021,16963,-7.1301016949,-7.3590996,86967,-4.997898305,-4.8042349,59,29.0,15.6,8.6,3.4
1642258,Zaccharie,Risacher,1610612737,ATL,Hawks,Atlanta,196751,3.2992,-0.1074831,13021,-0.2588545454,-1.1551652,141318,4.6843818181,1.3467241,5751,-10.6245272727,-14.2661803,36661,-7.016,-10.2703706,55,23.6,9.9,3.9,1.3
1642281,Jaylon,Tyson,1610612739,CLE,Cavaliers,Cleveland,228442,-0.2813492063,-0.1622408,19665,-1.6517301587,-0.446937,154414,2.3286507936,2.4013747,8375,-16.9699206349,-19.5537008,45988,-15.5993650793,-13.391215,63,27.1,13.1,5.1,2.2
1630188,Jalen,Smith,1610612741,CHI,Bulls,Chicago,147221,-0.33884,-0.1678495,10709,4.74226,5.7497005,81263,1.03782,1.197913,4862,-7.11354,-9.8580602,50387,-8.03508,-8.3482408,50,20.9,10.2,6.9,1.2
1630692,Jordan,Goodwin,1610612756,PHX,Suns,Phoenix,198559,0.0468166666,-0.2332756,24004,-1.8358333333,-2.1316217,134254,1.5537166666,1.4634585,5904,-16.4505666666,-16.4862752,34397,-10.8765666666,-13.0598919,60,22.4,8.6,4.8,2.2
1628384,OG,Anunoby,1610612752,NYK,Knicks,New York,285202,1.1157777777,-0.2817687,22124,-0.4609259259,-1.7198418,193783,3.3531666666,1.94983,12966,-10.3786481481,-14.0985515,56329,-10.2796296296,-10.9238321,54,33.1,16.9,5.3,2.3
1629060,Rui,Hachimura,1610612747,LAL,Lakers,Los Angeles,220669,0.2592413793,-0.2992681,10463,-2.9116034482,-2.4375918,181645,1.3117068965,0.8033966,6363,-11.7608448275,-10.0694868,22198,-10.4483275862,-9.8423548,58,28.8,11.3,3.2,0.9
1642271,Kyle,Filipowski,1610612762,UTA,Jazz,Utah,221141,-0.6223731343,-0.3300327,20887,1.8847910447,1.4317,143424,0.8947313432,1.2263484,10821,-11.8193880597,-13.2892659,46009,-9.6386716417,-9.6843341,67,22.8,10.6,7.0,2.4
1629023,P.J.,Washington,1610612742,DAL,Mavericks,Dallas,218899,-0.24498,-0.4369634,14283,-3.0676,-2.4630142,143838,2.98688,2.6471056,10116,-8.94444,-8.2140182,50662,-8.46156,-7.599403,50,30.7,14.4,7.1,1.8
1641738,Kobe,Brown,1610612754,IND,Pacers,Indiana,97626,-0.3393061224,-0.4837202,9491,-1.2094897959,-1.862353,67006,2.0597755102,1.145149,3699,-5.1584081632,-12.0562765,17430,-2.1336734693,-1.8961368,49,13.7,4.7,2.6,1.0
1642347,Jamal,Shead,1610612761,TOR,Raptors,Toronto,211280,-0.8274393939,-0.6200528,60332,0.0449090909,0.3800259,115356,1.5568787878,1.6896437,10169,-20.4463333333,-22.2699354,25423,-17.1909090909,-17.0328534,66,22.0,6.7,2.0,5.1
1630567,Scottie,Barnes,1610612761,TOR,Raptors,Toronto,334783,0.469328125,-0.6390838,46684,0.197140625,-0.6082027,166722,2.17884375,1.0665417,27130,-4.629984375,-7.0818178,94247,-4.555875,-4.2968192,64,34.3,18.7,7.8,5.3
1630183,Jaden,McDaniels,1610612750,MIN,Timberwolves,Minnesota,274864,-0.2987462686,-0.6574386,23446,-2.1093432835,-2.2308798,197272,1.6791791044,1.4160188,12501,-12.9518955223,-13.9443405,41645,-10.8478656716,-9.9008131,67,31.7,14.6,4.2,2.8
1642864,Hugo,González,1610612738,BOS,Celtics,Boston,150041,-0.7878125,-0.6733882,5990,-3.88440625,-4.496435,116291,0.190515625,0.3445905,2238,-6.434984375,-9.3949651,25522,-5.822640625,-7.4597588,64,15.3,4.0,3.5,0.6
1630171,Isaac,Okoro,1610612741,CHI,Bulls,Chicago,205049,-0.7456296296,-0.720277,12990,-5.3686851851,-5.0578558,142455,0.8053518518,0.786345,6149,-12.416074074,-12.6639656,43455,-11.6671481481,-11.4675028,54,27.1,9.2,2.7,1.6
1630558,Davion,Mitchell,1610612748,MIA,Heat,Miami,217299,-0.6434310344,-0.729348,53040,-3.7472068965,-3.6833818,128753,3.6008965517,3.4628636,13269,-25.5667413793,-26.5458392,22237,-17.4660344827,-17.6033695,58,28.3,9.0,2.6,6.6
1642276,Kel'el,Ware,1610612748,MIA,Heat,Miami,195601,-0.3328615384,-0.8716238,6779,-2.6734153846,-2.4694983,54708,0.9669846153,0.4661691,5808,-3.7638615384,-3.8099624,128306,-2.8004461538,-1.6716847,65,22.8,11.3,9.4,0.6
1626171,Bobby,Portis,1610612749,MIL,Bucks,Milwaukee,238424,-0.4349090909,-0.89143,21292,3.1368636363,1.9987721,137408,0.3221212121,0.1971335,16014,-4.3397272727,-4.7202487,63710,-4.5055454545,-4.2703258,66,24.2,13.7,6.4,1.6
