PLAYERID,FIRSTNAME,LASTNAME,TEAMID,TEAMABBREVIATION,TEAMNAME,TEAMCITY,OFFENSE,DEFENSE,FULL,SHOOTING,TURNOVERS,REBOUNDS,CREATION,ONBALLDEF,GAMESPLAYED,MINUTES,PTS,REB,AST
1630188,Jalen,Smith,1610612741,CHI,Bulls,Chicago,-0.0470274509,0.1461156862,0.0990823529,-0.0075980392,-0.0692058823,0.0685098039,0.0401666666,0.0339294117,51,20.8,10.3,6.8,1.2
1641757,Jordan,Miller,1610612746,LAC,Clippers,LA,0.0062732653,0.0925793877,0.0988465306,0.0163144897,-0.0457897959,0.0226889795,0.0443171428,0.0254328571,49,21.7,9.8,3.1,2.1
1628971,Bruce,Brown,1610612743,DEN,Nuggets,Denver,-0.0350057142,0.1331014285,0.0981014285,-0.0167257142,-0.0538057142,0.0375857142,0.0547771428,0.0360485714,70,24.6,7.5,3.8,2.1
1630171,Isaac,Okoro,1610612741,CHI,Bulls,Chicago,-0.0406727272,0.1386236363,0.0979436363,-0.02584,-0.0438690909,0.0283236363,0.053870909,0.0455745454,55,27.0,9.0,2.7,1.6
1629637,Jaxson,Hayes,1610612747,LAL,Lakers,Los Angeles,-0.0086798275,0.1040684482,0.0953903448,0.0083865517,-0.0245810344,0.0316224137,0.0177437931,0.0394217241,58,17.6,6.7,3.9,0.9
1630696,Dru,Smith,1610612748,MIA,Heat,Miami,-0.0045292424,0.0988860606,0.0943598484,-0.0120542424,-0.0403590909,0.0206974242,0.0616419696,0.0388321212,66,17.0,5.8,2.6,2.7
1629656,Quentin,Grimes,1610612755,PHI,76ers,Philadelphia,-0.0765626562,0.1700885937,0.0935290625,-0.006996875,-0.1079725,0.0362295312,0.0772546875,0.05041125,64,30.1,13.7,3.7,3.4
1642345,Oso,Ighodaro,1610612756,PHX,Suns,Phoenix,-0.0395152857,0.132713,0.0931934285,-0.003006,-0.0676714285,0.0462074285,0.0473944285,0.0470777142,70,21.6,6.2,4.9,2.2
1642268,Isaiah,Collier,1610612762,UTA,Jazz,Utah,-0.022618644,0.1151508474,0.0925423728,-0.0142830508,-0.1519423728,0.0272135593,0.1790932203,0.0248542372,59,25.7,11.7,2.5,7.2
1631260,AJ,Green,1610612749,MIL,Bucks,Milwaukee,-0.0291007692,0.1202470769,0.091154,0.0062372307,-0.0492446153,0.0249332307,0.0462215384,0.017506923,65,28.7,9.5,2.5,1.8
203471,Dennis,Schröder,1610612739,CLE,Cavaliers,Cleveland,-0.0231227118,0.1138450847,0.0907172881,0.0015703389,-0.1081913559,0.0232276271,0.1154676271,0.030328305,59,25.0,11.4,2.8,5.0
1628398,Kyle,Kuzma,1610612749,MIL,Bucks,Milwaukee,-0.04594,0.1345690625,0.08862125,0.003785625,-0.0956864062,0.0408682812,0.06946625,0.0300814062,64,26.5,13.0,4.6,2.6
1642875,Maxime,Raynaud,1610612758,SAC,Kings,Sacramento,-0.0467928571,0.1346530158,0.0878553968,-0.0037626984,-0.0610888888,0.0592946031,0.027423492,0.0355866666,63,25.6,11.7,7.3,1.3
1642461,Spencer,Jones,1610612743,DEN,Nuggets,Denver,-0.0280965517,0.1158844827,0.087787931,-0.006087931,-0.0305103448,0.0306086206,0.0229155172,0.0331706896,58,22.9,5.8,3.3,0.8
201572,Brook,Lopez,1610612746,LAC,Clippers,LA,-0.0471182539,0.1338031746,0.0866992063,-0.0091763492,-0.047317619,0.0240939682,0.0297503174,0.0615765079,63,20.7,7.6,3.1,1.2
1630631,Jose,Alvarado,1610612752,NYK,Knicks,New York,-0.0142067796,0.1007847457,0.0865966101,-0.0084016949,-0.0544406779,0.0220762711,0.0774610169,0.0246627118,59,20.4,7.4,2.5,3.4
