PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,21586,4.1,2.1,2.0,4.67,5.2,4.21
1642262,Cody Williams,1610612762,UTA,56,15,41,1244.0,533314,101.0,52.7,48.3,4.63,4.85,4.41
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,2799,0.5,0.2,0.3,4.51,4.58,4.46
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,208230,39.4,21.4,18.1,4.55,4.94,4.19
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,3753,0.7,0.3,0.4,3.75,3.71,3.78
1631221,Collin Gillespie,1610612756,PHX,69,38,31,1998.0,833830,157.9,85.1,72.8,4.62,4.93,4.3
1642867,Collin Murray-Boyles,1610612761,TOR,47,25,22,1046.0,422364,80.0,40.4,39.6,4.44,4.64,4.26
1629012,Collin Sexton,1610612741,CHI,56,22,34,1275.0,504764,95.6,52.1,43.5,4.38,4.71,4.04
1642843,Cooper Flagg,1610612742,DAL,58,19,39,1946.0,755865,143.2,79.7,63.4,4.34,4.78,3.89
1630557,Corey Kispert,1610612737,ATL,48,21,27,933.0,390621,74.0,40.3,33.7,4.67,5.26,4.12
1642504,Cormac Ryan,1610612749,MIL,1,0,1,8.0,2917,0.6,0.3,0.2,4.32,4.53,2.75
1641854,Craig Porter Jr.,1610612739,CLE,58,39,19,1024.0,425601,80.6,40.9,39.7,4.58,4.82,4.36
1642938,Curtis Jones,1610612743,DEN,6,4,2,31.0,13344,2.5,1.4,1.1,4.66,5.08,4.21
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,185610,35.2,19.2,16.0,4.37,4.82,3.92
1641747,DaRon Holmes II,1610612743,DEN,19,11,8,194.0,74929,14.2,7.6,6.6,4.12,4.32,3.92
1631342,Daeqwon Plowden,1610612758,SAC,21,6,15,514.0,216512,41.0,21.9,19.1,4.51,4.77,4.23
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,9929,1.9,1.0,0.9,4.12,4.51,3.75
1631207,Dalen Terry,1610612755,PHI,43,18,25,511.0,221873,42.0,22.1,19.9,4.76,5.18,4.37
1642261,Dalton Knecht,1610612747,LAL,48,29,19,509.0,186016,35.2,19.7,15.6,4.11,4.41,3.8
1629655,Daniel Gafford,1610612742,DAL,49,11,38,1062.0,423051,80.1,41.2,38.9,4.39,4.54,4.25
1642450,Daniss Jenkins,1610612765,DET,59,44,15,1040.0,428820,81.2,43.7,37.5,4.53,4.79,4.27
1642874,Danny Wolf,1610612751,BKN,55,14,41,1150.0,469679,89.0,48.4,40.6,4.4,4.79,4.02
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,15495,2.9,1.5,1.5,4.23,4.62,4.16
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,1177,0.2,0.1,0.1,4.23,3.95,4.56
1629636,Darius Garland,1610612746,LAC,34,18,16,1010.0,388920,73.7,39.5,34.2,4.26,4.73,3.82
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,28600,5.4,2.7,2.7,4.84,4.89,4.79
1631223,David Roddy,1610612743,DEN,2,1,1,12.0,5208,1.0,0.6,0.4,4.55,5.01,4.02
1630558,Davion Mitchell,1610612748,MIA,59,33,26,1667.0,658754,124.8,64.9,59.9,4.45,4.97,3.99
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,465938,88.2,46.0,42.2,4.39,4.51,4.27
1628368,De'Aaron Fox,1610612759,SAS,61,46,15,1916.0,736392,139.5,72.9,66.6,4.29,4.65,3.94
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,433521,82.1,43.9,38.2,4.15,4.6,3.73
1629001,De'Anthony Melton,1610612744,GSW,38,19,19,866.0,365959,69.3,38.6,30.7,4.49,4.92,4.05
201599,DeAndre Jordan,1610612740,NOP,10,6,4,163.0,53717,10.2,5.3,4.8,3.54,3.7,3.32
1630610,DeJon Jarreau,1610612763,MEM,3,1,2,57.0,25107,4.8,2.5,2.3,4.69,4.93,4.45
201942,DeMar DeRozan,1610612758,SAC,69,17,52,2184.0,789743,149.6,80.8,68.7,4.01,4.25,3.76
1629731,Dean Wade,1610612739,CLE,55,33,22,1235.0,502828,95.2,48.7,46.6,4.53,4.79,4.29
1629028,Deandre Ayton,1610612747,LAL,61,39,22,1682.0,598157,113.3,58.4,54.8,3.97,4.03,3.9
1627749,Dejounte Murray,1610612740,NOP,9,5,4,246.0,97289,18.4,9.7,8.8,4.17,4.45,3.95
1630166,Deni Avdija,1610612757,POR,54,27,27,1802.0,684516,129.6,70.5,59.2,4.24,4.71,3.8
203471,Dennis Schröder,1610612739,CLE,59,21,38,1479.0,589845,111.7,59.0,52.7,4.37,4.7,4.06
1641726,Dereck Lively II,1610612742,DAL,7,3,4,115.0,44559,8.4,4.6,3.9,4.55,4.95,4.25
1642852,Derik Queen,1610612740,NOP,70,25,45,1731.0,620802,117.6,62.2,55.4,3.96,4.23,3.7
1627884,Derrick Jones Jr.,1610612746,LAC,38,18,20,1039.0,404859,76.7,40.0,36.7,4.28,4.36,4.2
1628401,Derrick White,1610612738,BOS,66,44,22,2260.0,856854,162.3,91.6,70.6,4.2,4.53,3.83
1630217,Desmond Bane,1610612753,ORL,69,38,31,2356.0,914408,173.2,92.2,80.9,4.29,4.57,4.0
1626164,Devin Booker,1610612756,PHX,54,32,22,1810.0,659915,125.0,69.3,55.7,4.05,4.47,3.62
1642269,Devin Carter,1610612758,SAC,27,4,23,386.0,160859,30.5,16.4,14.1,4.49,4.79,4.19
1630170,Devin Vassell,1610612759,SAS,56,43,13,1724.0,663353,125.6,66.3,59.4,4.41,4.82,4.03
1628415,Dillon Brooks,1610612756,PHX,50,30,20,1530.0,566842,107.4,55.0,52.4,4.1,4.27,3.93
1641794,Dillon Jones,1610612752,NYK,5,4,1,24.0,10184,1.9,1.1,0.8,4.42,4.71,4.06
1627734,Domantas Sabonis,1610612758,SAC,19,3,16,564.0,215372,40.8,21.6,19.2,4.37,4.54,4.19
1631230,Dominick Barlow,1610612755,PHI,58,32,26,1415.0,589037,111.6,58.7,52.9,4.6,4.78,4.42
1642270,Donovan Clingan,1610612757,POR,65,33,32,1774.0,659994,125.0,66.2,58.8,4.12,4.38,3.87
1628378,Donovan Mitchell,1610612739,CLE,61,38,23,2043.0,761654,144.3,79.4,64.8,4.13,4.78,3.54
1628978,Donte DiVincenzo,1610612750,MIN,70,43,27,2155.0,837023,158.5,83.8,74.8,4.34,4.64,4.05
1627827,Dorian Finney-Smith,1610612745,HOU,32,20,12,562.0,215011,40.7,21.9,18.8,4.04,4.17,3.9
203926,Doug McDermott,1610612758,SAC,18,4,14,220.0,90086,17.1,9.3,7.7,4.37,4.7,3.98
1642962,Drake Powell,1610612751,BKN,52,13,39,1011.0,408721,77.4,40.8,36.6,4.42,4.67,4.17
203110,Draymond Green,1610612744,GSW,56,27,29,1524.0,535678,101.5,54.8,46.7,3.91,4.18,3.63
1629234,Drew Eubanks,1610612758,SAC,42,10,32,552.0,215194,40.8,21.3,19.4,4.46,4.75,4.17
1641809,Drew Peterson,1610612766,CHA,6,1,5,64.0,23728,4.5,2.4,2.1,4.34,4.62,4.07
1631166,Drew Timme,1610612747,LAL,21,13,8,179.0,71792,13.6,7.2,6.4,4.26,4.38,4.12
1630696,Dru Smith,1610612748,MIA,66,36,30,1115.0,468680,88.8,46.3,42.5,4.65,5.12,4.22
1629130,Duncan Robinson,1610612765,DET,67,49,18,1847.0,745999,141.3,75.7,65.6,4.53,4.86,4.19
1641871,Duop Reath,1610612757,POR,32,16,16,258.0,98823,18.7,9.8,8.9,4.37,4.54,4.21
203939,Dwight Powell,1610612742,DAL,53,16,37,713.0,291874,55.3,29.0,26.3,4.52,4.77,4.27
1642928,Dylan Cardwell,1610612758,SAC,32,9,23,662.0,257969,48.9,25.9,22.9,4.11,4.31,3.9
1642844,Dylan Harper,1610612759,SAS,57,43,14,1265.0,501138,94.9,49.6,45.3,4.4,4.67,4.13
1630700,Dyson Daniels,1610612737,ATL,65,37,28,2164.0,873829,165.5,85.8,79.7,4.51,4.94,4.12
1630604,E.J. Liddell,1610612751,BKN,16,2,14,122.0,47728,9.0,4.8,4.2,4.17,4.65,3.74
1642856,Egor Dëmin,1610612751,BKN,52,14,38,1308.0,543770,103.0,58.1,44.9,4.63,5.18,4.07
1641989,Elijah Harkless,1610612762,UTA,21,5,16,380.0,148194,28.1,14.3,13.8,4.19,4.39,4.0
1641801,Emanuel Miller,1610612759,SAS,5,0,5,33.0,12758,2.4,1.3,1.1,4.48,4.8,4.16
1642402,Enrique Freeman,1610612750,MIN,2,1,1,8.0,3438,0.7,0.3,0.3,4.78,4.16,4.04
201569,Eric Gordon,1610612755,PHI,6,3,3,74.0,24642,4.7,2.5,2.1,3.85,3.99,3.54
1630679,Ethan Thompson,1610612754,IND,24,5,19,417.0,180418,34.2,18.7,15.5,4.75,5.31,4.21
1630596,Evan Mobley,1610612739,CLE,55,33,22,1785.0,684869,129.7,68.2,61.5,4.3,4.78,3.87
1630532,Franz Wagner,1610612753,ORL,28,16,12,891.0,349823,66.3,35.4,30.8,4.59,4.98,4.19
1641713,GG Jackson,1610612763,MEM,46,15,31,952.0,392174,74.3,38.2,36.1,4.41,4.62,4.2
1629216,Gabe Vincent,1610612737,ATL,41,28,13,709.0,272882,51.7,27.6,24.0,4.26,4.54,3.96
202066,Garrett Temple,1610612761,TOR,17,8,9,52.0,20337,3.9,2.0,1.9,4.09,4.55,3.7
1629726,Garrison Mathews,1610612754,IND,15,4,11,196.0,78356,14.8,8.1,6.7,4.58,5.05,4.11
203914,Gary Harris,1610612749,MIL,45,15,30,617.0,241961,45.8,23.7,22.1,4.36,4.47,4.25
1627780,Gary Payton II,1610612744,GSW,62,29,33,907.0,399028,75.6,39.9,35.7,4.84,5.05,4.62
1629018,Gary Trent Jr.,1610612749,MIL,57,22,35,1192.0,417986,79.2,40.4,38.7,3.98,4.02,3.94
203507,Giannis Antetokounmpo,1610612749,MIL,36,17,19,1039.0,369949,70.1,38.1,31.9,3.99,4.38,3.59
1629048,Goga Bitadze,1610612753,ORL,51,27,24,761.0,292320,55.4,29.0,26.4,4.32,4.51,4.12
1641711,Gradey Dick,1610612761,TOR,64,36,28,959.0,392516,74.3,37.2,37.1,4.51,4.66,4.37
1641761,Grant Nelson,1610612751,BKN,4,0,4,35.0,14735,2.8,1.3,1.4,4.34,4.31,4.07
1629684,Grant Williams,1610612766,CHA,26,18,8,508.0,195240,37.0,20.2,16.7,4.05,4.15,3.91
1628960,Grayson Allen,1610612756,PHX,44,24,20,1312.0,512419,97.0,53.9,43.2,4.32,4.8,3.85
1627824,Guerschon Yabusele,1610612741,CHI,59,30,29,808.0,319825,60.6,32.4,28.2,4.35,4.58,4.11
1630611,Gui Santos,1610612744,GSW,58,26,32,1099.0,463888,87.9,48.4,39.5,4.53,4.81,4.23
203084,Harrison Barnes,1610612759,SAS,65,47,18,1723.0,675670,128.0,66.6,61.4,4.4,4.68,4.13
1631127,Harrison Ingram,1610612759,SAS,5,4,1,17.0,6774,1.3,0.7,0.6,4.16,4.35,3.95
1629312,Haywood Highsmith,1610612756,PHX,6,3,3,80.0,33851,6.4,3.4,3.0,4.41,4.65,4.16
1630529,Herbert Jones,1610612740,NOP,48,22,26,1388.0,536089,101.5,52.6,48.9,4.26,4.47,4.05
1642864,Hugo González,1610612738,BOS,64,43,21,980.0,411616,78.0,40.2,37.8,4.57,4.53,4.61
1630621,Hunter Dickinson,1610612740,NOP,1,0,1,5.0,1703,0.3,0.2,0.1,3.8,4.39,3.0
1642282,Hunter Sallis,1610612755,PHI,7,3,4,26.0,10574,2.0,1.1,0.9,4.74,5.04,4.42
1641816,Hunter Tyson,1610612743,DEN,21,15,6,162.0,67201,12.7,6.9,5.8,4.49,4.76,4.2
1630193,Immanuel Quickley,1610612761,TOR,65,38,27,2114.0,853522,161.7,86.2,75.4,4.47,4.89,4.06
1642403,Isaac Jones,1610612765,DET,5,3,2,24.0,8714,1.7,0.8,0.8,4.28,4.08,3.96
1630171,Isaac Okoro,1610612741,CHI,55,25,30,1480.0,609343,115.4,59.5,55.9,4.53,4.78,4.29
1642268,Isaiah Collier,1610612762,UTA,59,16,43,1517.0,590133,111.8,62.5,49.2,4.21,4.65,3.75
1642384,Isaiah Crawford,1610612745,HOU,11,5,6,67.0,26180,5.0,2.5,2.5,4.2,4.33,4.09
1628392,Isaiah Hartenstein,1610612760,OKC,38,31,7,951.0,374747,71.0,38.1,32.8,4.49,4.79,4.18
1630543,Isaiah Jackson,1610612746,LAC,51,16,35,838.0,328701,62.3,32.4,29.8,4.42,4.65,4.18
1630198,Isaiah Joe,1610612760,OKC,61,47,14,1335.0,547844,103.8,55.5,48.3,4.49,4.85,4.14
1630587,Isaiah Livers,1610612756,PHX,34,20,14,333.0,133755,25.3,13.2,12.1,4.47,4.62,4.32
1641815,Isaiah Stevens,1610612758,SAC,3,0,3,43.0,17365,3.3,1.7,1.6,4.32,4.47,4.16
1630191,Isaiah Stewart,1610612765,DET,55,39,16,1273.0,459342,87.0,44.6,42.4,4.06,4.13,3.99
1627826,Ivica Zubac,1610612754,IND,48,17,31,1447.0,519462,98.4,52.4,46.0,4.08,4.18,3.97
1631120,JD Davison,1610612745,HOU,25,20,5,184.0,71603,13.6,7.3,6.2,4.25,4.33,4.09
1629630,Ja Morant,1610612763,MEM,20,7,13,568.0,213834,40.5,21.7,18.8,4.28,4.71,3.87
1642266,Ja'Kobe Walter,1610612761,TOR,58,34,24,1096.0,464714,88.0,44.4,43.6,4.65,4.82,4.5
1631095,Jabari Smith Jr.,1610612745,HOU,64,38,26,2238.0,823817,156.0,83.4,72.6,4.05,4.13,3.95
1631133,Jabari Walker,1610612755,PHI,56,31,25,701.0,265262,50.2,26.5,23.7,4.19,4.3,4.07
1631210,Jacob Toppin,1610612737,ATL,5,3,2,17.0,6542,1.2,0.7,0.5,4.28,4.87,3.65
1630702,Jaden Hardy,1610612764,WAS,48,12,36,709.0,283338,53.7,28.6,25.1,4.37,4.71,4.03
1631093,Jaden Ivey,1610612741,CHI,37,23,14,670.0,267547,50.7,27.1,23.5,4.32,4.67,3.96
1630183,Jaden McDaniels,1610612750,MIN,68,41,27,2152.0,846604,160.3,82.2,78.1,4.39,4.59,4.19
1630256,Jae'Sean Tate,1610612745,HOU,34,24,10,287.0,112585,21.3,11.4,10.0,4.3,4.45,4.19
1642942,Jahmai Mashack,1610612763,MEM,24,9,15,449.0,191133,36.2,18.6,17.6,4.5,4.67,4.33
1642443,Jahmir Young,1610612748,MIA,11,8,3,51.0,20984,4.0,2.2,1.8,4.62,5.43,3.91
1643141,Jahmyl Telfort,1610612746,LAC,8,2,6,32.0,12095,2.3,1.1,1.1,4.28,4.41,3.82
1631170,Jaime Jaquez Jr.,1610612748,MIA,64,36,28,1830.0,785739,148.8,79.8,69.1,4.74,5.44,4.14
1631222,Jake LaRavia,1610612747,LAL,70,45,25,1732.0,707219,133.9,72.0,61.9,4.48,4.75,4.2
1627751,Jakob Poeltl,1610612761,TOR,33,20,13,845.0,336461,63.7,33.0,30.7,4.54,4.78,4.31
1628973,Jalen Brunson,1610612752,NYK,64,43,21,2231.0,867872,164.4,94.0,70.4,4.29,4.75,3.8
1631105,Jalen Duren,1610612765,DET,59,41,18,1637.0,615563,116.6,59.7,56.8,4.19,4.35,4.02
1630224,Jalen Green,1610612756,PHX,22,12,10,561.0,236390,44.8,25.3,19.4,4.52,4.88,4.1
1630552,Jalen Johnson,1610612737,ATL,62,36,26,2187.0,855603,162.0,87.1,75.0,4.34,4.88,3.85
1629618,Jalen Pickett,1610612743,DEN,44,28,16,736.0,284668,53.9,30.0,24.0,4.17,4.45,3.88
1641771,Jalen Slawson,1610612754,IND,5,0,5,128.0,51950,9.8,5.1,4.7,4.3,4.7,3.94
