PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
1629111,Jock Landale,1610612737,ATL,62,31,31,1370.0,1979,104,26,44,0.591,7,10,0.7,60,0.577,51,0.49,3,0.059,3,0.029,5,0.048
204060,Joe Ingles,1610612750,MIN,24,12,12,98.0,168,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
203954,Joel Embiid,1610612755,PHI,33,21,12,1029.0,2278,106,32,54,0.593,26,32,0.813,93,0.877,27,0.255,8,0.296,6,0.057,16,0.151
1628381,John Collins,1610612746,LAC,58,25,33,1596.0,2125,56,26,34,0.765,7,8,0.875,62,1.107,14,0.25,4,0.286,2,0.036,4,0.071
1629723,John Konchar,1610612762,UTA,44,17,27,759.0,1053,22,5,7,0.714,1,2,0.5,11,0.5,12,0.545,1,0.083,1,0.045,1,0.045
1642967,John Poulakidas,1610612742,DAL,3,1,2,47.0,54,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0
1642910,John Tonje,1610612738,BOS,3,3,0,11.0,15,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1641780,Johni Broome,1610612755,PHI,11,5,6,55.0,99,8,0,2,0.0,0,0,0.0,0,0.0,5,0.625,0,0.0,0,0.0,0,0.0
1642277,Johnny Furphy,1610612754,IND,35,10,25,643.0,958,10,1,1,1.0,0,0,0.0,2,0.2,8,0.8,1,0.125,1,0.1,0,0.0
1630548,Johnny Juzang,1610612750,MIN,21,13,8,88.0,121,2,2,2,1.0,0,0,0.0,4,2.0,0,0.0,0,0.0,0,0.0,0,0.0
202685,Jonas Valančiūnas,1610612743,DEN,58,35,23,773.0,1559,130,33,57,0.579,15,18,0.833,82,0.631,54,0.415,14,0.259,5,0.038,9,0.069
1628371,Jonathan Isaac,1610612753,ORL,52,29,23,521.0,613,34,3,7,0.429,2,2,1.0,9,0.265,21,0.618,4,0.19,1,0.029,1,0.029
1630228,Jonathan Kuminga,1610612737,ATL,26,15,11,612.0,1148,33,6,11,0.545,5,6,0.833,17,0.515,14,0.424,5,0.357,3,0.091,3,0.091
1642367,Jonathan Mogbo,1610612761,TOR,29,13,16,169.0,227,14,3,4,0.75,0,0,0.0,6,0.429,8,0.571,2,0.25,1,0.071,0,0.0
203903,Jordan Clarkson,1610612752,NYK,60,37,23,1078.0,1403,19,6,11,0.545,0,0,0.0,12,0.632,5,0.263,2,0.4,1,0.053,0,0.0
1630692,Jordan Goodwin,1610612756,PHX,60,34,26,1339.0,2351,21,2,8,0.25,2,2,1.0,6,0.286,11,0.524,5,0.455,1,0.048,0,0.0
