PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
1628415,Dillon Brooks,1610612756,PHX,50,30,20,1530.0,1044,2156,1206,126.7,3.53,2.88,0.484,18,58,45,0.833,0.897,0.889
1641794,Dillon Jones,1610612752,NYK,5,4,1,24.0,7,44,16,2.8,3.76,3.25,0.159,0,0,0,0.0,0.0,0.0
1627734,Domantas Sabonis,1610612758,SAC,19,3,16,564.0,301,1212,727,38.7,1.91,0.99,0.248,137,42,199,0.723,0.357,0.889
1631230,Dominick Barlow,1610612755,PHI,58,32,26,1415.0,478,1661,954,42.4,1.53,0.79,0.288,47,2,197,0.489,1.0,0.949
1642270,Donovan Clingan,1610612757,POR,65,33,32,1774.0,794,2723,1661,73.7,1.62,0.36,0.292,105,21,590,0.429,0.905,0.847
1628378,Donovan Mitchell,1610612739,CLE,61,38,23,2043.0,1711,4395,1921,330.3,4.51,4.12,0.389,28,0,57,0.857,0.0,0.93
1628978,Donte DiVincenzo,1610612750,MIN,70,43,27,2155.0,859,3882,2216,134.6,2.08,1.41,0.221,17,0,51,0.353,0.0,0.412
1627827,Dorian Finney-Smith,1610612745,HOU,32,20,12,562.0,106,670,346,17.6,1.57,0.52,0.158,10,0,37,0.0,0.0,0.486
203926,Doug McDermott,1610612758,SAC,18,4,14,220.0,82,294,213,5.5,1.12,0.39,0.279,2,0,3,1.0,0.0,0.667
1642962,Drake Powell,1610612751,BKN,52,13,39,1011.0,315,1391,721,75.7,3.26,2.61,0.226,14,0,16,0.571,0.0,1.125
203110,Draymond Green,1610612744,GSW,56,27,29,1524.0,481,3854,2081,129.5,2.02,1.1,0.125,109,10,127,0.193,0.0,0.567
1629234,Drew Eubanks,1610612758,SAC,42,10,32,552.0,219,666,428,18.0,1.62,0.65,0.329,80,6,155,0.588,0.667,0.91
1641809,Drew Peterson,1610612766,CHA,6,1,5,64.0,5,78,48,2.5,1.9,1.09,0.064,2,0,3,0.0,0.0,0.0
1631166,Drew Timme,1610612747,LAL,21,13,8,179.0,72,262,154,8.4,1.93,0.91,0.275,7,12,19,0.571,0.5,1.158
1630696,Dru Smith,1610612748,MIA,66,36,30,1115.0,386,2267,1053,119.7,3.17,2.82,0.17,30,2,73,0.633,0.0,0.548
1629130,Duncan Robinson,1610612765,DET,67,49,18,1847.0,796,2174,1591,62.8,1.73,0.78,0.366,7,0,32,1.0,0.0,0.906
1641871,Duop Reath,1610612757,POR,32,16,16,258.0,94,305,187,7.6,1.49,0.51,0.308,9,2,17,0.667,1.5,0.824
203939,Dwight Powell,1610612742,DAL,53,16,37,713.0,168,839,495,22.5,1.61,0.76,0.2,68,0,146,0.515,0.0,0.637
1642928,Dylan Cardwell,1610612758,SAC,32,9,23,662.0,165,756,457,18.4,1.46,0.52,0.218,65,7,217,0.338,0.143,0.65
1642844,Dylan Harper,1610612759,SAS,57,43,14,1265.0,635,2661,1129,191.9,4.33,3.91,0.239,29,0,49,0.586,0.0,0.735
1630700,Dyson Daniels,1610612737,ATL,65,37,28,2164.0,756,4241,1819,237.9,3.37,2.84,0.178,129,2,323,0.698,0.0,0.746
1630604,E.J. Liddell,1610612751,BKN,16,2,14,122.0,45,167,94,6.0,2.16,1.41,0.269,3,0,7,0.333,0.0,1.0
1642856,Egor Dëmin,1610612751,BKN,52,14,38,1308.0,536,2810,1114,160.5,3.43,2.98,0.191,20,1,23,0.65,2.0,0.739
1641989,Elijah Harkless,1610612762,UTA,21,5,16,380.0,129,601,275,30.9,3.09,2.7,0.215,3,0,7,0.0,0.0,0.857
1641801,Emanuel Miller,1610612759,SAS,5,0,5,33.0,15,44,31,1.1,1.45,0.84,0.341,1,0,3,2.0,0.0,1.333
1642402,Enrique Freeman,1610612750,MIN,2,1,1,8.0,0,8,2,0.2,1.67,0.5,0.0,0,0,0,0.0,0.0,0.0
201569,Eric Gordon,1610612755,PHI,6,3,3,74.0,33,103,70,3.2,1.87,0.92,0.32,0,0,1,0.0,0.0,0.0
1630679,Ethan Thompson,1610612754,IND,24,5,19,417.0,123,607,326,22.7,2.25,1.57,0.203,5,0,18,0.6,0.0,0.556
1630596,Evan Mobley,1610612739,CLE,55,33,22,1785.0,1004,3641,1922,143.5,2.36,1.46,0.276,185,77,399,0.524,0.468,0.925
1630532,Franz Wagner,1610612753,ORL,28,16,12,891.0,596,1606,905,84.2,3.15,2.42,0.371,55,16,77,0.473,0.813,0.805
1641713,GG Jackson,1610612763,MEM,46,15,31,952.0,522,1711,920,66.0,2.32,1.58,0.305,19,5,59,0.947,0.2,0.949
1629216,Gabe Vincent,1610612737,ATL,41,28,13,709.0,182,930,479,51.6,3.33,2.78,0.196,5,0,5,0.4,0.0,0.0
202066,Garrett Temple,1610612761,TOR,17,8,9,52.0,9,105,40,6.5,3.69,3.08,0.086,0,1,1,0.0,2.0,1.0
1629726,Garrison Mathews,1610612754,IND,15,4,11,196.0,78,255,155,5.8,1.36,0.45,0.306,3,0,1,1.333,0.0,0.0
203914,Gary Harris,1610612749,MIL,45,15,30,617.0,116,654,415,21.2,1.95,1.15,0.177,4,0,15,0.0,0.0,0.4
1627780,Gary Payton II,1610612744,GSW,62,29,33,907.0,419,1706,1046,52.2,1.84,1.0,0.246,57,8,222,0.667,0.0,0.892
1629018,Gary Trent Jr.,1610612749,MIL,57,22,35,1192.0,424,1112,864,38.5,2.07,1.58,0.381,2,0,5,1.0,0.0,1.2
203507,Giannis Antetokounmpo,1610612749,MIL,36,17,19,1039.0,993,2553,1204,170.2,4.0,2.79,0.389,168,186,248,0.583,0.511,1.077
