PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
1630314,Brandon Williams,1610612742,DAL,60,21,39,1320.0,645,145,285,0.509,108,139,0.777,408,0.633,221,0.343,50,0.078,40,0.062,70,0.109
1641729,Brice Sensabaugh,1610612762,UTA,66,18,48,1497.0,323,94,167,0.563,41,48,0.854,242,0.749,98,0.303,23,0.071,21,0.065,27,0.084
1642355,Bronny James,1610612747,LAL,32,17,15,224.0,37,5,16,0.313,0,0,0.0,10,0.27,17,0.459,6,0.162,4,0.108,0,0.0
201572,Brook Lopez,1610612746,LAC,63,33,30,1302.0,70,15,39,0.385,9,10,0.9,42,0.6,16,0.229,4,0.057,9,0.129,5,0.071
1642964,Brooks Barnhizer,1610612760,OKC,34,25,9,271.0,30,4,11,0.364,0,0,0.0,9,0.3,17,0.567,7,0.233,2,0.067,0,0.0
1628971,Bruce Brown,1610612743,DEN,70,42,28,1726.0,208,42,104,0.404,19,22,0.864,105,0.505,77,0.37,25,0.12,12,0.058,11,0.053
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,141,38,85,0.447,29,36,0.806,111,0.787,32,0.227,12,0.085,4,0.028,18,0.128
1642267,Bub Carrington,1610612764,WAS,69,16,53,1900.0,270,47,118,0.398,15,20,0.75,110,0.407,114,0.422,32,0.119,23,0.085,10,0.037
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1627741,Buddy Hield,1610612737,ATL,46,22,24,775.0,91,22,35,0.629,6,6,1.0,51,0.56,48,0.527,13,0.143,4,0.044,3,0.033
203468,CJ McCollum,1610612737,ATL,64,29,35,1909.0,659,164,327,0.502,48,62,0.774,382,0.58,245,0.372,57,0.086,36,0.055,31,0.047
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,965,233,468,0.498,120,146,0.822,603,0.625,357,0.37,107,0.111,45,0.047,76,0.079
1631216,Caleb Houstan,1610612737,ATL,14,9,5,59.0,3,0,1,0.0,0,0,0.0,0,0.0,1,0.333,0,0.0,0,0.0,0,0.0
1631126,Caleb Love,1610612757,POR,45,21,24,999.0,274,56,113,0.496,18,24,0.75,130,0.474,125,0.456,36,0.131,22,0.08,12,0.044
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,159,23,57,0.404,15,29,0.517,63,0.396,67,0.421,19,0.119,14,0.088,15,0.094
1642353,Cam Christie,1610612746,LAC,47,22,25,434.0,77,14,38,0.368,17,20,0.85,47,0.61,24,0.312,5,0.065,3,0.039,10,0.13
1642285,Cam Spencer,1610612763,MEM,65,23,42,1546.0,343,55,110,0.5,36,38,0.947,153,0.446,192,0.56,53,0.155,13,0.038,19,0.055
1630560,Cam Thomas,1610612749,MIL,41,11,30,865.0,351,86,184,0.467,59,70,0.843,239,0.681,102,0.291,31,0.088,19,0.054,35,0.1
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,47,12,32,0.375,3,8,0.375,27,0.574,7,0.149,3,0.064,3,0.064,4,0.085
1629661,Cameron Johnson,1610612743,DEN,44,27,17,1340.0,156,23,63,0.365,18,26,0.692,68,0.436,68,0.436,17,0.109,10,0.064,13,0.083
1626166,Cameron Payne,1610612755,PHI,15,7,8,260.0,54,14,33,0.424,9,10,0.9,37,0.685,11,0.204,6,0.111,2,0.037,5,0.093
1627747,Caris LeVert,1610612765,DET,49,35,14,953.0,259,39,95,0.411,10,14,0.714,91,0.351,127,0.49,39,0.151,20,0.077,7,0.027
1642868,Carter Bryant,1610612759,SAS,59,46,13,620.0,56,6,22,0.273,6,10,0.6,18,0.321,23,0.411,3,0.054,5,0.089,5,0.089
1641717,Cason Wallace,1610612760,OKC,67,52,15,1826.0,380,56,151,0.371,10,12,0.833,124,0.326,188,0.495,40,0.105,21,0.055,6,0.016
1642907,Cedric Coward,1610612763,MEM,54,19,35,1403.0,288,70,149,0.47,38,48,0.792,181,0.628,88,0.306,22,0.076,20,0.069,24,0.083
1643052,Chaney Johnson,1610612751,BKN,6,1,5,123.0,6,2,2,1.0,2,4,0.5,6,1.0,1,0.167,0,0.0,1,0.167,2,0.333
1629646,Charles Bassey,1610612738,BOS,4,1,3,37.0,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642404,Chaz Lanier,1610612765,DET,25,21,4,193.0,10,1,5,0.2,0,0,0.0,2,0.2,5,0.5,2,0.2,0,0.0,0,0.0
1631096,Chet Holmgren,1610612760,OKC,60,48,12,1759.0,299,66,129,0.512,62,76,0.816,197,0.659,102,0.341,24,0.08,21,0.07,38,0.127
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,2,2,2,1.0,0,0,0.0,4,2.0,0,0.0,0,0.0,0,0.0,0,0.0
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,3,0,0,0.0,0,0,0.0,0,0.0,2,0.667,0,0.0,1,0.333,0,0.0
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,31,6,16,0.375,0,0,0.0,12,0.387,11,0.355,3,0.097,3,0.097,0,0.0
1642959,Chris Youngblood,1610612757,POR,32,27,5,174.0,9,0,4,0.0,2,2,1.0,2,0.222,4,0.444,1,0.111,0,0.0,1,0.111
1631128,Christian Braun,1610612743,DEN,34,19,15,1088.0,68,9,21,0.429,7,10,0.7,25,0.368,35,0.515,9,0.132,5,0.074,5,0.074
1631132,Christian Koloko,1610612737,ATL,23,13,10,314.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,4,0,1,0.0,0,0,0.0,0,0.0,2,0.5,0,0.0,1,0.25,0,0.0
203991,Clint Capela,1610612745,HOU,62,37,25,776.0,17,4,10,0.4,1,2,0.5,9,0.529,5,0.294,0,0.0,1,0.059,1,0.059
1629632,Coby White,1610612766,CHA,39,21,18,1043.0,468,82,159,0.516,64,76,0.842,238,0.509,225,0.481,54,0.115,33,0.071,39,0.083
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,7,0,1,0.0,2,4,0.5,2,0.286,3,0.429,0,0.0,1,0.143,2,0.286
1642262,Cody Williams,1610612762,UTA,56,15,41,1244.0,155,39,82,0.476,18,24,0.75,96,0.619,50,0.323,10,0.065,9,0.058,12,0.077
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,264,58,119,0.487,4,4,1.0,122,0.462,125,0.473,27,0.102,11,0.042,2,0.008
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1631221,Collin Gillespie,1610612756,PHX,69,38,31,1998.0,453,65,146,0.445,22,26,0.846,159,0.351,255,0.563,66,0.146,28,0.062,13,0.029
1642867,Collin Murray-Boyles,1610612761,TOR,47,25,22,1046.0,50,9,18,0.5,9,10,0.9,27,0.54,18,0.36,2,0.04,6,0.12,5,0.1
1629012,Collin Sexton,1610612741,CHI,56,22,34,1275.0,521,109,209,0.522,86,98,0.878,321,0.616,195,0.374,47,0.09,45,0.086,51,0.098
1642843,Cooper Flagg,1610612742,DAL,58,19,39,1946.0,718,207,413,0.501,89,106,0.84,512,0.713,195,0.272,54,0.075,39,0.054,54,0.075
1630557,Corey Kispert,1610612737,ATL,48,21,27,933.0,145,40,65,0.615,20,24,0.833,104,0.717,60,0.414,14,0.097,7,0.048,12,0.083
1642504,Cormac Ryan,1610612749,MIL,1,0,1,8.0,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
1641854,Craig Porter Jr.,1610612739,CLE,58,39,19,1024.0,247,42,94,0.447,5,13,0.385,92,0.372,119,0.482,33,0.134,17,0.069,7,0.028
1642938,Curtis Jones,1610612743,DEN,6,4,2,31.0,5,1,2,0.5,0,0,0.0,2,0.4,2,0.4,1,0.2,1,0.2,0,0.0
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,150,39,75,0.52,22,28,0.786,100,0.667,49,0.327,16,0.107,7,0.047,14,0.093
1641747,DaRon Holmes II,1610612743,DEN,19,11,8,194.0,13,2,3,0.667,0,0,0.0,4,0.308,9,0.692,5,0.385,0,0.0,0,0.0
1631342,Daeqwon Plowden,1610612758,SAC,21,6,15,514.0,45,4,15,0.267,6,6,1.0,15,0.333,21,0.467,2,0.044,5,0.111,3,0.067
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,12,3,8,0.375,2,2,1.0,8,0.667,2,0.167,0,0.0,1,0.083,1,0.083
1631207,Dalen Terry,1610612755,PHI,43,18,25,511.0,116,16,40,0.4,2,6,0.333,35,0.302,62,0.534,16,0.138,6,0.052,3,0.026
1642261,Dalton Knecht,1610612747,LAL,48,29,19,509.0,62,21,38,0.553,5,8,0.625,48,0.774,15,0.242,0,0.0,4,0.065,4,0.065
1629655,Daniel Gafford,1610612742,DAL,49,11,38,1062.0,45,15,31,0.484,9,12,0.75,40,0.889,4,0.089,0,0.0,3,0.067,6,0.133
1642450,Daniss Jenkins,1610612765,DET,59,44,15,1040.0,368,60,154,0.39,25,31,0.806,152,0.413,168,0.457,40,0.109,20,0.054,18,0.049
1642874,Danny Wolf,1610612751,BKN,55,14,41,1150.0,229,54,117,0.462,30,38,0.789,141,0.616,72,0.314,22,0.096,19,0.083,19,0.083
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
1629636,Darius Garland,1610612746,LAC,34,18,16,1010.0,472,88,185,0.476,32,40,0.8,210,0.445,224,0.475,67,0.142,29,0.061,20,0.042
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,28,8,15,0.533,1,4,0.25,19,0.679,9,0.321,3,0.107,1,0.036,2,0.071
1631223,David Roddy,1610612743,DEN,2,1,1,12.0,3,0,0,0.0,2,2,1.0,2,0.667,2,0.667,2,0.667,0,0.0,1,0.333
1630558,Davion Mitchell,1610612748,MIA,59,33,26,1667.0,595,105,192,0.547,30,42,0.714,241,0.405,337,0.566,82,0.138,31,0.052,21,0.035
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,68,17,34,0.5,6,10,0.6,42,0.618,19,0.279,5,0.074,6,0.088,5,0.074
1628368,De'Aaron Fox,1610612759,SAS,61,46,15,1916.0,751,186,334,0.557,74,100,0.74,452,0.602,312,0.415,85,0.113,32,0.043,51,0.068
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,232,54,113,0.478,33,38,0.868,146,0.629,72,0.31,13,0.056,17,0.073,19,0.082
1629001,De'Anthony Melton,1610612744,GSW,38,19,19,866.0,327,75,148,0.507,43,48,0.896,199,0.609,124,0.379,24,0.073,24,0.073,24,0.073
201599,DeAndre Jordan,1610612740,NOP,10,6,4,163.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1630610,DeJon Jarreau,1610612763,MEM,3,1,2,57.0,12,2,3,0.667,2,2,1.0,6,0.5,6,0.5,2,0.167,0,0.0,1,0.083
201942,DeMar DeRozan,1610612758,SAC,69,17,52,2184.0,595,140,252,0.556,97,109,0.89,391,0.657,246,0.413,62,0.104,33,0.055,56,0.094
1629731,Dean Wade,1610612739,CLE,55,33,22,1235.0,82,7,17,0.412,6,6,1.0,20,0.244,58,0.707,13,0.159,3,0.037,3,0.037
1629028,Deandre Ayton,1610612747,LAL,61,39,22,1682.0,34,15,25,0.6,2,2,1.0,32,0.941,5,0.147,0,0.0,2,0.059,1,0.029
1627749,Dejounte Murray,1610612740,NOP,9,5,4,246.0,100,31,47,0.66,10,14,0.714,76,0.76,36,0.36,7,0.07,8,0.08,7,0.07
1630166,Deni Avdija,1610612757,POR,54,27,27,1802.0,1025,165,330,0.5,163,199,0.819,522,0.509,500,0.488,134,0.131,74,0.072,100,0.098
203471,Dennis Schröder,1610612739,CLE,59,21,38,1479.0,558,105,239,0.439,71,85,0.835,290,0.52,225,0.403,55,0.099,26,0.047,43,0.077
1641726,Dereck Lively II,1610612742,DAL,7,3,4,115.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642852,Derik Queen,1610612740,NOP,70,25,45,1731.0,387,110,234,0.47,71,86,0.826,294,0.76,72,0.186,18,0.047,28,0.072,43,0.111
1627884,Derrick Jones Jr.,1610612746,LAC,38,18,20,1039.0,83,20,51,0.392,3,8,0.375,50,0.602,16,0.193,2,0.024,5,0.06,5,0.06
1628401,Derrick White,1610612738,BOS,66,44,22,2260.0,516,127,280,0.454,63,68,0.926,323,0.626,165,0.32,40,0.078,28,0.054,34,0.066
1630217,Desmond Bane,1610612753,ORL,69,38,31,2356.0,771,210,392,0.536,85,87,0.977,520,0.674,284,0.368,65,0.084,34,0.044,44,0.057
1626164,Devin Booker,1610612756,PHX,54,32,22,1810.0,854,194,377,0.515,126,146,0.863,536,0.628,322,0.377,75,0.088,50,0.059,74,0.087
1642269,Devin Carter,1610612758,SAC,27,4,23,386.0,146,24,55,0.436,20,28,0.714,70,0.479,67,0.459,15,0.103,8,0.055,14,0.096
1630170,Devin Vassell,1610612759,SAS,56,43,13,1724.0,200,39,87,0.448,13,16,0.813,93,0.465,84,0.42,16,0.08,14,0.07,8,0.04
1628415,Dillon Brooks,1610612756,PHX,50,30,20,1530.0,415,143,283,0.505,55,66,0.833,350,0.843,57,0.137,10,0.024,33,0.08,34,0.082
1641794,Dillon Jones,1610612752,NYK,5,4,1,24.0,5,0,1,0.0,4,4,1.0,4,0.8,2,0.4,2,0.4,0,0.0,2,0.4
1627734,Domantas Sabonis,1610612758,SAC,19,3,16,564.0,39,10,18,0.556,2,4,0.5,22,0.564,13,0.333,1,0.026,5,0.128,2,0.051
1631230,Dominick Barlow,1610612755,PHI,58,32,26,1415.0,126,29,62,0.468,19,28,0.679,80,0.635,37,0.294,8,0.063,10,0.079,14,0.111
1642270,Donovan Clingan,1610612757,POR,65,33,32,1774.0,23,2,8,0.25,2,2,1.0,6,0.261,8,0.348,3,0.13,5,0.217,1,0.043
1628378,Donovan Mitchell,1610612739,CLE,61,38,23,2043.0,858,237,411,0.577,92,106,0.868,581,0.677,309,0.36,76,0.089,54,0.063,53,0.062
1628978,Donte DiVincenzo,1610612750,MIN,70,43,27,2155.0,244,36,85,0.424,21,28,0.75,96,0.393,124,0.508,28,0.115,17,0.07,14,0.057
1627827,Dorian Finney-Smith,1610612745,HOU,32,20,12,562.0,22,4,6,0.667,0,0,0.0,9,0.409,13,0.591,6,0.273,3,0.136,0,0.0
203926,Doug McDermott,1610612758,SAC,18,4,14,220.0,9,0,0,0.0,0,0,0.0,0,0.0,6,0.667,1,0.111,2,0.222,0,0.0
1642962,Drake Powell,1610612751,BKN,52,13,39,1011.0,187,35,76,0.461,24,24,1.0,95,0.508,78,0.417,14,0.075,18,0.096,13,0.07
203110,Draymond Green,1610612744,GSW,56,27,29,1524.0,145,29,50,0.58,11,15,0.733,70,0.483,66,0.455,13,0.09,15,0.103,8,0.055
1629234,Drew Eubanks,1610612758,SAC,42,10,32,552.0,22,5,11,0.455,3,6,0.5,13,0.591,5,0.227,0,0.0,3,0.136,3,0.136
1641809,Drew Peterson,1610612766,CHA,6,1,5,64.0,7,1,3,0.333,1,2,0.5,3,0.429,3,0.429,1,0.143,0,0.0,1,0.143
1631166,Drew Timme,1610612747,LAL,21,13,8,179.0,13,5,8,0.625,0,2,0.0,10,0.769,3,0.231,0,0.0,1,0.077,1,0.077
1630696,Dru Smith,1610612748,MIA,66,36,30,1115.0,240,52,108,0.481,35,42,0.833,145,0.604,85,0.354,19,0.079,17,0.071,21,0.088
1629130,Duncan Robinson,1610612765,DET,67,49,18,1847.0,188,36,74,0.486,17,18,0.944,92,0.489,93,0.495,28,0.149,10,0.053,9,0.048
1641871,Duop Reath,1610612757,POR,32,16,16,258.0,15,3,7,0.429,3,4,0.75,9,0.6,5,0.333,1,0.067,1,0.067,2,0.133
203939,Dwight Powell,1610612742,DAL,53,16,37,713.0,11,4,5,0.8,2,4,0.5,10,0.909,4,0.364,1,0.091,0,0.0,2,0.182
1642928,Dylan Cardwell,1610612758,SAC,32,9,23,662.0,5,0,2,0.0,0,0,0.0,0,0.0,3,0.6,2,0.4,0,0.0,0,0.0
1642844,Dylan Harper,1610612759,SAS,57,43,14,1265.0,472,122,223,0.547,26,34,0.765,276,0.585,196,0.415,50,0.106,27,0.057,17,0.036
1630700,Dyson Daniels,1610612737,ATL,65,37,28,2164.0,671,110,242,0.455,14,23,0.609,239,0.356,364,0.542,96,0.143,36,0.054,13,0.019
1630604,E.J. Liddell,1610612751,BKN,16,2,14,122.0,14,6,10,0.6,0,0,0.0,12,0.857,2,0.143,1,0.071,2,0.143,0,0.0
