PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
1642285,Cam Spencer,1610612763,MEM,59,20,39,1422.0,35,10,25,0.286,76,0.461,4,0.486,9.7,134,18,116,0.134,211,0.635,18,0.694,9.1,169,28,141,0.166,285,0.593,22,0.643,9.3
1630560,Cam Thomas,1610612749,MIL,35,9,26,793.0,11,1,10,0.091,38,0.289,1,0.297,14.1,59,11,48,0.186,128,0.461,16,0.527,8.4,70,12,58,0.171,163,0.429,17,0.479,9.3
1641715,Cam Whitmore,1610612764,WAS,16,2,14,300.0,19,8,11,0.421,49,0.388,0,0.388,6.4,39,8,31,0.205,56,0.696,3,0.736,6.7,58,16,42,0.276,99,0.586,3,0.604,6.6
1629661,Cameron Johnson,1610612743,DEN,44,27,17,1340.0,33,12,21,0.364,77,0.429,1,0.434,10.4,132,33,96,0.25,224,0.589,29,0.677,8.6,165,45,117,0.273,294,0.561,30,0.625,9.0
1626166,Cameron Payne,1610612755,PHI,11,6,5,216.0,3,1,2,0.333,9,0.333,2,0.429,10.2,23,4,19,0.174,41,0.561,5,0.639,8.2,26,5,21,0.192,50,0.52,7,0.605,8.4
1627747,Caris LeVert,1610612765,DET,44,31,13,864.0,17,8,9,0.471,50,0.34,3,0.362,10.7,71,16,55,0.225,139,0.511,15,0.573,8.5,88,24,64,0.273,184,0.478,18,0.53,8.9
1642868,Carter Bryant,1610612759,SAS,49,38,11,529.0,27,13,14,0.481,51,0.529,2,0.551,7.5,104,24,80,0.231,161,0.646,12,0.698,6.4,131,37,94,0.282,203,0.645,14,0.693,6.6
1641717,Cason Wallace,1610612760,OKC,63,49,14,1727.0,56,25,31,0.446,136,0.412,6,0.431,10.7,155,31,124,0.2,279,0.556,29,0.62,9.2,211,56,155,0.265,410,0.515,35,0.563,9.6
1642907,Cedric Coward,1610612763,MEM,53,19,34,1379.0,76,43,31,0.566,190,0.4,7,0.415,6.1,258,60,197,0.233,431,0.599,51,0.679,5.7,334,103,228,0.308,600,0.557,58,0.616,5.7
1643052,Chaney Johnson,1610612751,BKN,6,1,5,123.0,15,11,4,0.733,38,0.395,1,0.405,7.0,16,3,13,0.188,25,0.64,1,0.667,4.7,31,14,17,0.452,61,0.508,2,0.525,5.8
1629646,Charles Bassey,1610612738,BOS,3,1,2,33.0,7,3,4,0.429,11,0.636,0,0.636,5.6,9,2,7,0.222,19,0.474,3,0.563,4.9,16,5,11,0.313,30,0.533,3,0.593,5.2
1642404,Chaz Lanier,1610612765,DET,10,9,1,131.0,7,3,4,0.429,13,0.538,0,0.538,16.9,12,0,12,0.0,28,0.429,6,0.545,14.0,19,3,16,0.158,38,0.5,6,0.594,15.1
1631096,Chet Holmgren,1610612760,OKC,60,48,12,1759.0,114,76,39,0.667,285,0.4,9,0.413,5.6,424,138,282,0.325,705,0.601,84,0.683,4.6,538,214,321,0.398,961,0.56,93,0.62,4.9
