PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
1628401,Derrick White,1610612738,BOS,66,44,22,2260.0,3915,3976,371,28,40,654,955,438,0.095,0.112
1630217,Desmond Bane,1610612753,ORL,69,38,31,2356.0,2757,3292,287,30,42,529,747,354,0.104,0.128
1626164,Devin Booker,1610612756,PHX,54,32,22,1810.0,1951,3106,318,32,64,664,872,414,0.163,0.212
1642269,Devin Carter,1610612758,SAC,27,4,23,386.0,562,597,57,6,4,108,135,67,0.101,0.119
1630170,Devin Vassell,1610612759,SAS,56,43,13,1724.0,1632,1735,138,13,27,239,356,178,0.085,0.109
1628415,Dillon Brooks,1610612756,PHX,50,30,20,1530.0,1032,1674,88,11,14,145,234,113,0.085,0.109
1641794,Dillon Jones,1610612752,NYK,5,4,1,24.0,35,25,4,0,0,5,9,4,0.114,0.114
1627734,Domantas Sabonis,1610612758,SAC,19,3,16,564.0,893,698,78,7,7,135,190,93,0.087,0.104
1631230,Dominick Barlow,1610612755,PHI,58,32,26,1415.0,1195,991,69,5,14,108,181,88,0.058,0.074
1642270,Donovan Clingan,1610612757,POR,65,33,32,1774.0,1936,1414,142,11,15,201,354,167,0.073,0.086
1628378,Donovan Mitchell,1610612739,CLE,61,38,23,2043.0,2632,3470,358,46,59,698,939,463,0.136,0.176
1628978,Donte DiVincenzo,1610612750,MIN,70,43,27,2155.0,2951,2646,287,32,41,424,718,359,0.097,0.122
1627827,Dorian Finney-Smith,1610612745,HOU,32,20,12,562.0,517,373,31,2,3,51,76,35,0.06,0.068
203926,Doug McDermott,1610612758,SAC,18,4,14,220.0,211,212,8,2,2,23,21,12,0.038,0.057
1642962,Drake Powell,1610612751,BKN,52,13,39,1011.0,1022,996,75,5,16,169,212,96,0.073,0.094
203110,Draymond Green,1610612744,GSW,56,27,29,1524.0,3188,2708,298,33,32,566,795,363,0.093,0.114
1629234,Drew Eubanks,1610612758,SAC,42,10,32,552.0,450,403,19,1,2,38,46,22,0.042,0.049
1641809,Drew Peterson,1610612766,CHA,6,1,5,64.0,62,42,2,0,0,6,5,2,0.032,0.032
1631166,Drew Timme,1610612747,LAL,21,13,8,179.0,195,169,16,1,1,26,36,18,0.082,0.092
1630696,Dru Smith,1610612748,MIA,66,36,30,1115.0,1788,1685,176,14,26,295,447,215,0.098,0.12
1629130,Duncan Robinson,1610612765,DET,67,49,18,1847.0,1484,1622,136,16,14,231,340,166,0.092,0.112
1641871,Duop Reath,1610612757,POR,32,16,16,258.0,213,185,10,0,4,20,25,14,0.047,0.066
203939,Dwight Powell,1610612742,DAL,53,16,37,713.0,679,454,49,1,3,74,121,55,0.072,0.081
1642928,Dylan Cardwell,1610612758,SAC,32,9,23,662.0,575,374,40,2,5,86,101,47,0.07,0.082
1642844,Dylan Harper,1610612759,SAS,57,43,14,1265.0,1930,2088,218,20,42,408,580,280,0.113,0.145
1630700,Dyson Daniels,1610612737,ATL,65,37,28,2164.0,3308,3076,393,32,52,644,1021,475,0.119,0.144
1630604,E.J. Liddell,1610612751,BKN,16,2,14,122.0,116,103,9,1,1,19,27,11,0.078,0.095
1642856,Egor Dëmin,1610612751,BKN,52,14,38,1308.0,2172,2025,173,20,25,359,491,218,0.08,0.1
1641989,Elijah Harkless,1610612762,UTA,21,5,16,380.0,433,441,53,1,4,83,136,58,0.122,0.134
