PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT
1643133,Lawson Lovering,1610612763,MEM,2,1,1,49.0,43,14,6,9,0.667,1,2,0.5,13,0.929,3,0.214,1,0.071,1,0.071,1,0.071
2544,LeBron James,1610612747,LAL,49,31,18,1635.0,3410,175,75,100,0.75,25,35,0.714,178,1.017,37,0.211,7,0.04,11,0.063,18,0.103
1641778,Leaky Black,1610612764,WAS,5,0,5,159.0,185,11,3,7,0.429,0,0,0.0,6,0.545,4,0.364,0,0.0,0,0.0,0,0.0
1631159,Leonard Miller,1610612741,CHI,34,15,19,387.0,583,47,25,30,0.833,1,2,0.5,53,1.128,13,0.277,3,0.064,2,0.043,1,0.021
1642862,Liam McNeeley,1610612766,CHA,28,10,18,342.0,434,9,2,3,0.667,0,0,0.0,4,0.444,5,0.556,1,0.111,1,0.111,0,0.0
1630322,Lindy Waters III,1610612759,SAS,35,26,9,245.0,343,4,1,1,1.0,0,0,0.0,2,0.5,3,0.75,0,0.0,0,0.0,0,0.0
1628366,Lonzo Ball,1610612739,CLE,35,19,16,728.0,1621,36,5,7,0.714,3,4,0.75,13,0.361,24,0.667,1,0.028,2,0.056,1,0.028
1629652,Luguentz Dort,1610612760,OKC,58,45,13,1612.0,1695,65,10,13,0.769,7,8,0.875,27,0.415,41,0.631,9,0.138,4,0.062,4,0.062
1629029,Luka Dončić,1610612747,LAL,58,39,19,2076.0,5139,56,16,25,0.64,13,20,0.65,45,0.804,13,0.232,2,0.036,5,0.089,9,0.161
1630568,Luka Garza,1610612738,BOS,59,39,20,923.0,1306,243,81,130,0.623,49,66,0.742,216,0.889,59,0.243,10,0.041,13,0.053,32,0.132
1628379,Luke Kennard,1610612747,LAL,66,37,29,1373.0,1754,37,13,19,0.684,2,2,1.0,28,0.757,15,0.405,7,0.189,0,0.0,1,0.027
1628436,Luke Kornet,1610612759,SAS,59,44,15,1244.0,1594,393,137,214,0.64,45,52,0.865,320,0.814,121,0.308,20,0.051,14,0.036,27,0.069
1631247,Luke Travers,1610612739,CLE,12,6,6,103.0,158,11,2,4,0.5,2,2,1.0,6,0.545,6,0.545,0,0.0,0,0.0,1,0.091
1630644,Mac McClung,1610612741,CHI,4,0,4,47.0,100,1,1,1,1.0,0,0,0.0,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0
1641869,Malachi Smith,1610612751,BKN,3,0,3,45.0,79,3,0,1,0.0,0,0,0.0,0,0.0,2,0.667,0,0.0,0,0.0,0,0.0
1631103,Malaki Branham,1610612764,WAS,28,7,21,275.0,446,12,4,5,0.8,6,6,1.0,14,1.167,3,0.25,1,0.083,0,0.0,3,0.25
1642502,Malevy Leons,1610612744,GSW,16,5,11,146.0,197,30,7,13,0.538,0,0,0.0,14,0.467,13,0.433,4,0.133,1,0.033,0,0.0
1628370,Malik Monk,1610612758,SAC,53,15,38,1165.0,1984,27,13,19,0.684,0,0,0.0,26,0.963,5,0.185,0,0.0,2,0.074,0,0.0
1630699,MarJon Beauchamp,1610612755,PHI,7,2,5,120.0,162,4,1,2,0.5,1,1,1.0,3,0.75,2,0.5,1,0.25,0,0.0,1,0.25
1631204,Marcus Sasser,1610612765,DET,28,20,8,352.0,627,2,0,0,0.0,0,0,0.0,0,0.0,2,1.0,1,0.5,0,0.0,0,0.0
203935,Marcus Smart,1610612747,LAL,59,38,21,1694.0,2603,39,12,19,0.632,4,4,1.0,28,0.718,16,0.41,5,0.128,2,0.051,2,0.051
1641813,Mark Sears,1610612749,MIL,7,1,6,26.0,54,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1631109,Mark Williams,1610612756,PHX,56,33,23,1322.0,1955,423,199,299,0.666,57,70,0.814,472,1.116,53,0.125,8,0.019,14,0.033,33,0.078
1628963,Marvin Bagley III,1610612742,DAL,52,14,38,1035.0,1593,276,128,185,0.692,32,52,0.615,292,1.058,43,0.156,4,0.014,16,0.058,25,0.091
203486,Mason Plumlee,1610612759,SAS,17,8,9,139.0,204,32,7,9,0.778,4,4,1.0,20,0.625,16,0.5,3,0.094,5,0.156,2,0.063
1641824,Matas Buzelis,1610612741,CHI,69,27,42,2004.0,3586,152,60,83,0.723,29,38,0.763,148,0.974,29,0.191,3,0.02,10,0.066,19,0.125
1629680,Matisse Thybulle,1610612757,POR,18,9,9,224.0,317,7,0,3,0.0,0,0,0.0,0,0.0,4,0.571,0,0.0,0,0.0,0,0.0
1631108,Max Christie,1610612742,DAL,65,21,44,1917.0,2629,38,12,21,0.571,4,4,1.0,28,0.737,12,0.316,1,0.026,2,0.053,0,0.0
1642917,Max Shulga,1610612738,BOS,5,4,1,8.0,13,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1629622,Max Strus,1610612739,CLE,3,2,1,70.0,114,3,1,1,1.0,0,0,0.0,2,0.667,2,0.667,0,0.0,0,0.0,0,0.0
1628467,Maxi Kleber,1610612747,LAL,35,16,19,383.0,428,49,8,18,0.444,8,12,0.667,24,0.49,19,0.388,4,0.082,1,0.02,6,0.122
1642875,Maxime Raynaud,1610612758,SAC,62,17,45,1574.0,2576,457,202,317,0.637,32,48,0.667,445,0.974,80,0.175,12,0.026,25,0.055,23,0.05
1642877,Micah Peavy,1610612740,NOP,52,16,36,706.0,773,65,25,44,0.568,3,6,0.5,53,0.815,17,0.262,2,0.031,1,0.015,3,0.046
1630695,Micah Potter,1610612754,IND,35,7,28,652.0,1009,120,39,53,0.736,37,42,0.881,117,0.975,33,0.275,8,0.067,5,0.042,21,0.175
1629008,Michael Porter Jr.,1610612751,BKN,52,14,38,1689.0,3063,184,89,124,0.718,30,34,0.882,221,1.201,19,0.103,4,0.022,14,0.076,16,0.087
1628969,Mikal Bridges,1610612752,NYK,70,45,25,2334.0,3972,167,70,99,0.707,16,16,1.0,156,0.934,48,0.287,8,0.048,5,0.03,8,0.048
201144,Mike Conley,1610612750,MIN,47,29,18,838.0,1747,11,0,2,0.0,0,0,0.0,0,0.0,7,0.636,2,0.182,2,0.182,0,0.0
1628970,Miles Bridges,1610612766,CHA,65,34,31,2057.0,3453,135,62,81,0.765,18,22,0.818,146,1.081,37,0.274,3,0.022,3,0.022,11,0.081
1642939,Miles Kelly,1610612742,DAL,14,7,7,134.0,155,4,3,4,0.75,0,0,0.0,7,1.75,0,0.0,0,0.0,0,0.0,0,0.0
1630540,Miles McBride,1610612752,NYK,35,22,13,981.0,1740,28,7,11,0.636,1,2,0.5,15,0.536,15,0.536,4,0.143,1,0.036,1,0.036
1629011,Mitchell Robinson,1610612752,NYK,51,34,17,992.0,939,307,116,162,0.716,11,36,0.306,246,0.801,95,0.309,20,0.065,18,0.059,17,0.055
1628964,Mo Bamba,1610612762,UTA,4,3,1,44.0,63,16,4,9,0.444,0,0,0.0,8,0.5,4,0.25,0,0.0,1,0.063,0,0.0
1642885,Mohamed Diawara,1610612752,NYK,59,36,23,505.0,789,21,5,11,0.455,0,0,0.0,10,0.476,6,0.286,0,0.0,4,0.19,0,0.0
1628420,Monte Morris,1610612754,IND,6,0,6,65.0,152,3,2,2,1.0,0,0,0.0,4,1.333,1,0.333,0,0.0,0,0.0,0,0.0
1629021,Moritz Wagner,1610612753,ORL,29,17,12,383.0,633,69,19,40,0.475,15,18,0.833,55,0.797,15,0.217,0,0.0,2,0.029,9,0.13
1630541,Moses Moody,1610612744,GSW,59,29,30,1506.0,1829,81,25,38,0.658,5,8,0.625,56,0.691,28,0.346,3,0.037,6,0.074,4,0.049
1631243,Mouhamed Gueye,1610612737,ATL,65,36,29,994.0,1206,168,54,91,0.593,17,24,0.708,128,0.762,48,0.286,6,0.036,14,0.083,11,0.065
1630619,Moussa Cisse,1610612742,DAL,34,10,24,425.0,454,134,42,73,0.575,15,32,0.469,102,0.761,31,0.231,1,0.007,8,0.06,15,0.112
1631217,Moussa Diabaté,1610612766,CHA,62,33,29,1603.0,2261,505,135,217,0.622,43,61,0.705,322,0.638,203,0.402,38,0.075,27,0.053,31,0.061
1626167,Myles Turner,1610612749,MIL,64,26,38,1748.0,2073,203,63,103,0.612,41,54,0.759,174,0.857,50,0.246,7,0.034,16,0.079,27,0.133
1642066,Myron Gardner,1610612748,MIA,37,22,15,349.0,587,42,9,17,0.529,2,4,0.5,21,0.5,22,0.524,3,0.071,0,0.0,2,0.048
