PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT
1642353,Cam Christie,1610612746,LAC,47,22,25,434.0,651,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642285,Cam Spencer,1610612763,MEM,65,23,42,1546.0,3485,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1630560,Cam Thomas,1610612749,MIL,41,11,30,865.0,1677,8,3,5,0.6,4,4,1.0,10,1.25,1,0.125,0,0.0,0,0.0,2,0.25
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,432,2,2,2,1.0,0,0,0.0,4,2.0,0,0.0,0,0.0,0,0.0,0,0.0
1629661,Cameron Johnson,1610612743,DEN,44,27,17,1340.0,1676,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1626166,Cameron Payne,1610612755,PHI,15,7,8,260.0,621,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1627747,Caris LeVert,1610612765,DET,49,35,14,953.0,1698,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
1642868,Carter Bryant,1610612759,SAS,59,46,13,620.0,737,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1641717,Cason Wallace,1610612760,OKC,67,52,15,1826.0,2569,2,1,1,1.0,0,0,0.0,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0
1642907,Cedric Coward,1610612763,MEM,54,19,35,1403.0,2994,8,2,3,0.667,2,2,1.0,7,0.875,3,0.375,1,0.125,1,0.125,1,0.125
1643052,Chaney Johnson,1610612751,BKN,6,1,5,123.0,179,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1629646,Charles Bassey,1610612738,BOS,4,1,3,37.0,41,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642404,Chaz Lanier,1610612765,DET,25,21,4,193.0,192,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1631096,Chet Holmgren,1610612760,OKC,60,48,12,1759.0,2771,63,21,33,0.636,11,14,0.786,53,0.841,15,0.238,3,0.048,2,0.032,7,0.111
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,113,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,21,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,31,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,510,3,0,1,0.0,0,0,0.0,0,0.0,2,0.667,1,0.333,0,0.0,0,0.0
1642959,Chris Youngblood,1610612757,POR,32,27,5,174.0,171,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1631128,Christian Braun,1610612743,DEN,34,19,15,1088.0,1647,1,0,0,0.0,1,2,0.5,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0
1631132,Christian Koloko,1610612737,ATL,23,13,10,314.0,354,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,31,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
