PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
1642964,Brooks Barnhizer,1610612760,OKC,34,25,9,271.0,47,9,0.364,17,0.333,4,0.2,8,0.667,0,0.0,0,0.0,0.43
1628971,Bruce Brown,1610612743,DEN,70,42,28,1726.0,528,105,0.404,133,0.372,34,0.286,132,0.551,0,0.0,39,0.5,0.513
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,340,111,0.447,99,0.407,39,0.425,23,0.8,0,0.0,5,0.667,0.561
1642267,Bub Carrington,1610612764,WAS,69,16,53,1900.0,688,110,0.398,185,0.378,376,0.443,18,0.615,2,0.25,6,0.75,0.524
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,6,0,0.0,6,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0.5
1627741,Buddy Hield,1610612737,ATL,46,22,24,775.0,354,51,0.629,162,0.372,51,0.26,38,0.654,0,0.0,24,0.846,0.543
203468,CJ McCollum,1610612737,ATL,64,29,35,1909.0,1193,382,0.502,242,0.374,481,0.432,27,0.786,2,0.5,29,0.769,0.532
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,1497,603,0.498,146,0.347,463,0.415,70,0.556,43,0.541,41,0.654,0.515
1631216,Caleb Houstan,1610612737,ATL,14,9,5,59.0,23,0,0.0,18,0.5,0,0.0,0,0.0,0,0.0,2,0.5,0.625
1631126,Caleb Love,1610612757,POR,45,21,24,999.0,507,130,0.496,210,0.35,117,0.336,12,0.833,0,0.0,10,0.833,0.486
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,227,63,0.404,67,0.353,17,0.258,10,0.625,0,0.0,3,0.25,0.503
1642353,Cam Christie,1610612746,LAC,47,22,25,434.0,142,47,0.368,33,0.289,15,0.292,19,0.5,0,0.0,4,1.0,0.429
1642285,Cam Spencer,1610612763,MEM,65,23,42,1546.0,740,153,0.5,205,0.464,338,0.472,27,0.667,0,0.0,10,0.625,0.609
1630560,Cam Thomas,1610612749,MIL,41,11,30,865.0,560,239,0.467,63,0.344,225,0.375,14,0.6,10,0.6,7,0.5,0.467
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,193,27,0.375,18,0.375,38,0.259,48,0.611,4,1.0,10,0.5,0.503
1629661,Cameron Johnson,1610612743,DEN,44,27,17,1340.0,520,68,0.365,214,0.421,73,0.392,40,0.792,0,0.0,22,0.667,0.578
1626166,Cameron Payne,1610612755,PHI,15,7,8,260.0,113,37,0.424,21,0.269,57,0.375,2,0.5,0,0.0,0,0.0,0.459
1627747,Caris LeVert,1610612765,DET,49,35,14,953.0,363,91,0.411,104,0.361,85,0.327,27,0.667,0,0.0,12,0.625,0.502
1642868,Carter Bryant,1610612759,SAS,59,46,13,620.0,229,18,0.273,117,0.339,12,0.238,36,0.696,0,0.0,6,0.429,0.474
1641717,Cason Wallace,1610612760,OKC,67,52,15,1826.0,577,124,0.371,215,0.343,68,0.351,46,0.667,2,1.0,16,0.778,0.508
1642907,Cedric Coward,1610612763,MEM,54,19,35,1403.0,721,181,0.47,185,0.335,106,0.358,125,0.725,7,0.667,23,0.615,0.536
1643052,Chaney Johnson,1610612751,BKN,6,1,5,123.0,47,6,1.0,12,0.444,0,0.0,16,0.75,0,0.0,2,0.333,0.643
1629646,Charles Bassey,1610612738,BOS,4,1,3,37.0,11,0,0.0,0,0.0,0,0.0,9,0.571,0,0.0,1,0.0,0.5
1642404,Chaz Lanier,1610612765,DET,25,21,4,193.0,65,2,0.2,52,0.367,6,0.231,0,0.0,0,0.0,2,1.0,0.455
1631096,Chet Holmgren,1610612760,OKC,60,48,12,1759.0,1034,197,0.512,224,0.371,115,0.435,378,0.75,53,0.636,72,0.577,0.606
