PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
203926,Doug McDermott,1610612758,SAC,19,4,15,251.0,24,60,0.4,72,24,60,0.4,0.6
1642962,Drake Powell,1610612751,BKN,52,13,39,1011.0,32,115,0.278,95,31,112,0.277,0.413
203110,Draymond Green,1610612744,GSW,56,27,29,1524.0,89,268,0.332,262,84,255,0.329,0.489
1629234,Drew Eubanks,1610612758,SAC,42,10,32,552.0,9,24,0.375,19,1,6,0.167,0.396
1641809,Drew Peterson,1610612766,CHA,6,1,5,64.0,0,12,0.0,0,0,12,0.0,0.0
1631166,Drew Timme,1610612747,LAL,21,13,8,179.0,9,20,0.45,25,7,17,0.412,0.625
1630696,Dru Smith,1610612748,MIA,66,36,30,1115.0,34,108,0.315,101,33,106,0.311,0.468
1629130,Duncan Robinson,1610612765,DET,67,49,18,1847.0,148,360,0.411,442,146,356,0.41,0.614
1641871,Duop Reath,1610612757,POR,32,16,16,258.0,21,53,0.396,63,21,53,0.396,0.594
203939,Dwight Powell,1610612742,DAL,53,16,37,713.0,2,5,0.4,5,1,3,0.333,0.5
1642928,Dylan Cardwell,1610612758,SAC,33,9,24,684.0,2,5,0.4,4,0,1,0.0,0.4
1642844,Dylan Harper,1610612759,SAS,57,43,14,1265.0,42,112,0.375,124,40,108,0.37,0.554
1630700,Dyson Daniels,1610612737,ATL,65,37,28,2164.0,19,95,0.2,50,12,84,0.143,0.263
1630604,E.J. Liddell,1610612751,BKN,16,2,14,122.0,8,21,0.381,23,7,20,0.35,0.548
1642856,Egor Dëmin,1610612751,BKN,52,14,38,1308.0,85,207,0.411,253,83,204,0.407,0.611
1641989,Elijah Harkless,1610612762,UTA,21,5,16,380.0,15,51,0.294,45,15,51,0.294,0.441
1641801,Emanuel Miller,1610612759,SAS,5,0,5,33.0,3,7,0.429,8,2,6,0.333,0.571
1642402,Enrique Freeman,1610612750,MIN,2,1,1,8.0,0,0,,0,,,,
201569,Eric Gordon,1610612755,PHI,6,3,3,74.0,7,12,0.583,21,7,12,0.583,0.875
1630679,Ethan Thompson,1610612754,IND,24,5,19,417.0,21,67,0.313,62,20,65,0.308,0.463
1630596,Evan Mobley,1610612739,CLE,55,33,22,1785.0,54,171,0.316,158,50,160,0.313,0.462
1630532,Franz Wagner,1610612753,ORL,28,16,12,891.0,28,68,0.412,81,25,61,0.41,0.596
1641713,GG Jackson,1610612763,MEM,46,15,31,952.0,39,115,0.339,117,39,115,0.339,0.509
1629216,Gabe Vincent,1610612737,ATL,41,28,13,709.0,37,101,0.366,110,36,99,0.364,0.545
202066,Garrett Temple,1610612761,TOR,17,8,9,52.0,1,6,0.167,3,1,6,0.167,0.25
1629726,Garrison Mathews,1610612754,IND,15,4,11,196.0,17,41,0.415,51,17,41,0.415,0.622
203914,Gary Harris,1610612749,MIL,45,15,30,617.0,25,55,0.455,75,25,54,0.463,0.682
1627780,Gary Payton II,1610612744,GSW,62,29,33,907.0,29,105,0.276,87,29,105,0.276,0.414
1629018,Gary Trent Jr.,1610612749,MIL,57,22,35,1192.0,81,211,0.384,243,81,211,0.384,0.576
203507,Giannis Antetokounmpo,1610612749,MIL,36,17,19,1039.0,11,25,0.44,32,10,20,0.5,0.64
