PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
1642874,Danny Wolf,1610612751,BKN,55,14,41,1150.0,29,32,214,116,182,0.637
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,0,0,5,7,8,0.875
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,0,0,1,0,0,0.0
1629636,Darius Garland,1610612746,LAC,34,18,16,1010.0,30,3,66,52,70,0.743
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,6,1,9,3,6,0.5
1631223,David Roddy,1610612743,DEN,2,1,1,12.0,1,0,3,1,3,0.333
1630558,Davion Mitchell,1610612748,MIA,59,33,26,1667.0,60,10,132,82,112,0.732
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,67,26,242,118,177,0.667
1628368,De'Aaron Fox,1610612759,SAS,61,46,15,1916.0,73,17,196,71,103,0.689
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,30,6,155,78,105,0.743
1629001,De'Anthony Melton,1610612744,GSW,38,19,19,866.0,60,16,87,69,98,0.704
201599,DeAndre Jordan,1610612740,NOP,10,6,4,163.0,3,8,43,12,21,0.571
1630610,DeJon Jarreau,1610612763,MEM,3,1,2,57.0,2,1,11,5,9,0.556
201942,DeMar DeRozan,1610612758,SAC,69,17,52,2184.0,78,21,176,159,205,0.776
1629731,Dean Wade,1610612739,CLE,55,33,22,1235.0,41,22,185,98,150,0.653
1629028,Deandre Ayton,1610612747,LAL,61,39,22,1682.0,36,56,347,176,290,0.607
1627749,Dejounte Murray,1610612740,NOP,9,5,4,246.0,15,2,46,18,25,0.72
1630166,Deni Avdija,1610612757,POR,54,27,27,1802.0,43,35,316,140,203,0.69
203471,Dennis Schröder,1610612739,CLE,59,21,38,1479.0,49,10,138,78,95,0.821
1641726,Dereck Lively II,1610612742,DAL,7,3,4,115.0,4,11,23,16,27,0.593
1642852,Derik Queen,1610612740,NOP,70,25,45,1731.0,66,63,368,233,374,0.623
1627884,Derrick Jones Jr.,1610612746,LAC,38,18,20,1039.0,39,40,76,53,80,0.663
1628401,Derrick White,1610612738,BOS,66,44,22,2260.0,78,94,223,138,251,0.55
1630217,Desmond Bane,1610612753,ORL,69,38,31,2356.0,70,30,202,111,159,0.698
1626164,Devin Booker,1610612756,PHX,54,32,22,1810.0,45,16,172,90,146,0.616
1642269,Devin Carter,1610612758,SAC,27,4,23,386.0,22,5,48,15,21,0.714
1630170,Devin Vassell,1610612759,SAS,56,43,13,1724.0,46,22,185,67,103,0.65
1628415,Dillon Brooks,1610612756,PHX,50,30,20,1530.0,52,8,144,76,110,0.691
1641794,Dillon Jones,1610612752,NYK,5,4,1,24.0,2,0,4,0,0,0.0
1627734,Domantas Sabonis,1610612758,SAC,19,3,16,564.0,18,4,152,89,127,0.701
1631230,Dominick Barlow,1610612755,PHI,58,32,26,1415.0,55,39,163,131,213,0.615
1642270,Donovan Clingan,1610612757,POR,65,33,32,1774.0,36,103,458,225,417,0.54
1628378,Donovan Mitchell,1610612739,CLE,61,38,23,2043.0,95,18,229,86,109,0.789
1628978,Donte DiVincenzo,1610612750,MIN,70,43,27,2155.0,95,26,244,119,192,0.62
1627827,Dorian Finney-Smith,1610612745,HOU,32,20,12,562.0,15,6,55,45,63,0.714
203926,Doug McDermott,1610612758,SAC,18,4,14,220.0,4,1,15,19,25,0.76
1642962,Drake Powell,1610612751,BKN,52,13,39,1011.0,25,10,69,57,83,0.687
203110,Draymond Green,1610612744,GSW,56,27,29,1524.0,47,33,266,135,221,0.611
1629234,Drew Eubanks,1610612758,SAC,42,10,32,552.0,15,26,88,56,104,0.538
1641809,Drew Peterson,1610612766,CHA,6,1,5,64.0,3,1,6,3,5,0.6
1631166,Drew Timme,1610612747,LAL,21,13,8,179.0,5,0,18,21,27,0.778
1630696,Dru Smith,1610612748,MIA,66,36,30,1115.0,98,20,111,65,91,0.714
1629130,Duncan Robinson,1610612765,DET,67,49,18,1847.0,38,22,155,97,137,0.708
1641871,Duop Reath,1610612757,POR,32,16,16,258.0,5,8,28,27,48,0.563
203939,Dwight Powell,1610612742,DAL,53,16,37,713.0,25,17,121,87,134,0.649
1642928,Dylan Cardwell,1610612758,SAC,32,9,23,662.0,23,47,146,74,152,0.487
1642844,Dylan Harper,1610612759,SAS,57,43,14,1265.0,46,17,152,51,78,0.654
1630700,Dyson Daniels,1610612737,ATL,65,37,28,2164.0,124,27,283,142,204,0.696
1630604,E.J. Liddell,1610612751,BKN,16,2,14,122.0,3,5,25,16,22,0.727
1642856,Egor Dëmin,1610612751,BKN,52,14,38,1308.0,42,17,144,113,157,0.72
1641989,Elijah Harkless,1610612762,UTA,21,5,16,380.0,20,3,29,28,34,0.824
1641801,Emanuel Miller,1610612759,SAS,5,0,5,33.0,2,0,2,4,6,0.667
1642402,Enrique Freeman,1610612750,MIN,2,1,1,8.0,0,1,3,2,3,0.667
201569,Eric Gordon,1610612755,PHI,6,3,3,74.0,4,1,1,4,4,1.0
1630679,Ethan Thompson,1610612754,IND,24,5,19,417.0,15,6,32,25,31,0.806
1630596,Evan Mobley,1610612739,CLE,55,33,22,1785.0,44,103,359,190,342,0.556
1630532,Franz Wagner,1610612753,ORL,28,16,12,891.0,30,9,120,49,78,0.628
1641713,GG Jackson,1610612763,MEM,46,15,31,952.0,28,37,157,74,116,0.638
1629216,Gabe Vincent,1610612737,ATL,41,28,13,709.0,19,2,25,26,33,0.788
202066,Garrett Temple,1610612761,TOR,17,8,9,52.0,3,1,5,1,2,0.5
1629726,Garrison Mathews,1610612754,IND,15,4,11,196.0,6,3,15,11,13,0.846
203914,Gary Harris,1610612749,MIL,45,15,30,617.0,25,7,43,35,46,0.761
1627780,Gary Payton II,1610612744,GSW,62,29,33,907.0,53,19,131,58,89,0.652
1629018,Gary Trent Jr.,1610612749,MIL,57,22,35,1192.0,28,3,52,33,40,0.825
203507,Giannis Antetokounmpo,1610612749,MIL,36,17,19,1039.0,34,24,254,54,104,0.519
1629048,Goga Bitadze,1610612753,ORL,51,27,24,761.0,31,52,141,84,165,0.509
1641711,Gradey Dick,1610612761,TOR,64,36,28,959.0,41,6,95,39,50,0.78
1641761,Grant Nelson,1610612751,BKN,4,0,4,35.0,1,5,5,0,7,0.0
1629684,Grant Williams,1610612766,CHA,26,18,8,508.0,11,11,70,35,48,0.729
1628960,Grayson Allen,1610612756,PHX,44,24,20,1312.0,61,12,100,75,104,0.721
1627824,Guerschon Yabusele,1610612741,CHI,59,30,29,808.0,23,13,144,83,125,0.664
1630611,Gui Santos,1610612744,GSW,58,26,32,1099.0,48,20,155,105,153,0.686
203084,Harrison Barnes,1610612759,SAS,65,47,18,1723.0,43,11,133,97,129,0.752
1631127,Harrison Ingram,1610612759,SAS,5,4,1,17.0,0,0,0,0,0,0.0
1629312,Haywood Highsmith,1610612756,PHX,6,3,3,80.0,4,0,7,4,5,0.8
1630529,Herbert Jones,1610612740,NOP,48,22,26,1388.0,83,22,128,96,123,0.78
1642864,Hugo González,1610612738,BOS,64,43,21,980.0,38,20,163,42,71,0.592
1630621,Hunter Dickinson,1610612740,NOP,1,0,1,5.0,0,1,0,1,2,0.5
1642282,Hunter Sallis,1610612755,PHI,7,3,4,26.0,0,1,1,2,2,1.0
1641816,Hunter Tyson,1610612743,DEN,21,15,6,162.0,2,1,32,17,23,0.739
1630193,Immanuel Quickley,1610612761,TOR,65,38,27,2114.0,82,5,231,97,127,0.764
1642403,Isaac Jones,1610612765,DET,5,3,2,24.0,0,0,2,3,4,0.75
1630171,Isaac Okoro,1610612741,CHI,55,25,30,1480.0,37,24,89,92,150,0.613
1642268,Isaiah Collier,1610612762,UTA,59,16,43,1517.0,66,20,129,61,84,0.726
1642384,Isaiah Crawford,1610612745,HOU,11,5,6,67.0,2,3,8,1,3,0.333
1628392,Isaiah Hartenstein,1610612760,OKC,38,31,7,951.0,36,31,233,70,136,0.515
1630543,Isaiah Jackson,1610612746,LAC,51,16,35,838.0,34,45,163,109,186,0.586
1630198,Isaiah Joe,1610612760,OKC,61,47,14,1335.0,43,11,134,58,84,0.69
1630587,Isaiah Livers,1610612756,PHX,34,20,14,333.0,12,8,41,20,29,0.69
1641815,Isaiah Stevens,1610612758,SAC,3,0,3,43.0,5,0,1,1,1,1.0
1630191,Isaiah Stewart,1610612765,DET,55,39,16,1273.0,15,90,189,102,236,0.432
1627826,Ivica Zubac,1610612754,IND,48,17,31,1447.0,18,40,347,132,239,0.552
1631120,JD Davison,1610612745,HOU,25,20,5,184.0,5,4,21,12,18,0.667
1629630,Ja Morant,1610612763,MEM,20,7,13,568.0,20,6,57,25,40,0.625
1642266,Ja'Kobe Walter,1610612761,TOR,58,34,24,1096.0,57,10,95,88,118,0.746
1631095,Jabari Smith Jr.,1610612745,HOU,64,38,26,2238.0,51,59,339,158,274,0.577
1631133,Jabari Walker,1610612755,PHI,56,31,25,701.0,22,12,112,64,94,0.681
1631210,Jacob Toppin,1610612737,ATL,5,3,2,17.0,0,1,1,0,1,0.0
1630702,Jaden Hardy,1610612764,WAS,48,12,36,709.0,14,5,58,40,62,0.645
1631093,Jaden Ivey,1610612741,CHI,37,23,14,670.0,23,14,67,33,48,0.688
1630183,Jaden McDaniels,1610612750,MIN,68,41,27,2152.0,73,66,215,157,282,0.557
1630256,Jae'Sean Tate,1610612745,HOU,34,24,10,287.0,9,3,25,20,33,0.606
1642942,Jahmai Mashack,1610612763,MEM,24,9,15,449.0,29,12,34,59,77,0.766
1642443,Jahmir Young,1610612748,MIA,11,8,3,51.0,1,0,2,3,4,0.75
1643141,Jahmyl Telfort,1610612746,LAC,8,2,6,32.0,1,0,3,0,0,0.0
1631170,Jaime Jaquez Jr.,1610612748,MIA,64,36,28,1830.0,50,18,246,113,173,0.653
1631222,Jake LaRavia,1610612747,LAL,70,45,25,1732.0,83,31,170,157,206,0.762
1627751,Jakob Poeltl,1610612761,TOR,33,20,13,845.0,26,24,163,100,163,0.613
1628973,Jalen Brunson,1610612752,NYK,64,43,21,2231.0,48,8,191,122,159,0.767
1631105,Jalen Duren,1610612765,DET,59,41,18,1637.0,52,50,398,154,247,0.623
1630224,Jalen Green,1610612756,PHX,22,12,10,561.0,27,2,70,25,40,0.625
1630552,Jalen Johnson,1610612737,ATL,62,36,26,2187.0,82,29,557,171,252,0.679
1629618,Jalen Pickett,1610612743,DEN,44,28,16,736.0,13,4,89,25,40,0.625
1641771,Jalen Slawson,1610612754,IND,5,0,5,128.0,8,8,19,13,23,0.565
1630188,Jalen Smith,1610612741,CHI,51,25,26,1064.0,24,39,251,105,188,0.559
1630591,Jalen Suggs,1610612753,ORL,46,27,19,1234.0,86,35,145,85,120,0.708
1631114,Jalen Williams,1610612760,OKC,26,19,7,755.0,33,9,104,29,46,0.63
