player_id,player_name,team_abbr,team_name
1642883,Sion James,CHA,Charlotte Hornets
1642275,Tidjane Salaün,CHA,Charlotte Hornets
1641787,Tosan Evbuomwan,CHA,Charlotte Hornets
1630544,Tre Mann,CHA,Charlotte Hornets
1630214,Xavier Tillman,CHA,Charlotte Hornets
1629014,Anfernee Simons,CHI,Chicago Bulls
1629012,Collin Sexton,CHI,Chicago Bulls
1627824,Guerschon Yabusele,CHI,Chicago Bulls
1630171,Isaac Okoro,CHI,Chicago Bulls
1631093,Jaden Ivey,CHI,Chicago Bulls
1630188,Jalen Smith,CHI,Chicago Bulls
1630581,Josh Giddey,CHI,Chicago Bulls
1642950,Lachlan Olbrich,CHI,Chicago Bulls
1631159,Leonard Miller,CHI,Chicago Bulls
1630644,Mac McClung,CHI,Chicago Bulls
1641824,Matas Buzelis,CHI,Chicago Bulls
1630208,Nick Richards,CHI,Chicago Bulls
1642855,Noa Essengue,CHI,Chicago Bulls
1630172,Patrick Williams,CHI,Chicago Bulls
1642265,Rob Dillingham,CHI,Chicago Bulls
1630200,Tre Jones,CHI,Chicago Bulls
1642530,Yuki Kawamura,CHI,Chicago Bulls
1628380,Zach Collins,CHI,Chicago Bulls
1641854,Craig Porter Jr.,CLE,Cleveland Cavaliers
1629731,Dean Wade,CLE,Cleveland Cavaliers
203471,Dennis Schröder,CLE,Cleveland Cavaliers
1628378,Donovan Mitchell,CLE,Cleveland Cavaliers
1630596,Evan Mobley,CLE,Cleveland Cavaliers
201935,James Harden,CLE,Cleveland Cavaliers
1628386,Jarrett Allen,CLE,Cleveland Cavaliers
1642281,Jaylon Tyson,CLE,Cleveland Cavaliers
1631165,Keon Ellis,CLE,Cleveland Cavaliers
1626204,Larry Nance Jr.,CLE,Cleveland Cavaliers
1629622,Max Strus,CLE,Cleveland Cavaliers
1641772,Nae'Qwan Tomlin,CLE,Cleveland Cavaliers
1630846,Olivier Sarr,CLE,Cleveland Cavaliers
1642434,Riley Minix,CLE,Cleveland Cavaliers
1630241,Sam Merrill,CLE,Cleveland Cavaliers
1628418,Thomas Bryant,CLE,Cleveland Cavaliers
1642400,Tristan Enaruna,CLE,Cleveland Cavaliers
1642878,Tyrese Proctor,CLE,Cleveland Cavaliers
1642358,AJ Johnson,DAL,Dallas Mavericks
1630314,Brandon Williams,DAL,Dallas Mavericks
1628997,Caleb Martin,DAL,Dallas Mavericks
1642843,Cooper Flagg,DAL,Dallas Mavericks
1629655,Daniel Gafford,DAL,Dallas Mavericks
1641726,Dereck Lively II,DAL,Dallas Mavericks
203939,Dwight Powell,DAL,Dallas Mavericks
1642967,John Poulakidas,DAL,Dallas Mavericks
203114,Khris Middleton,DAL,Dallas Mavericks
202691,Klay Thompson,DAL,Dallas Mavericks
202681,Kyrie Irving,DAL,Dallas Mavericks
1628963,Marvin Bagley III,DAL,Dallas Mavericks
1631108,Max Christie,DAL,Dallas Mavericks
1630619,Moussa Cisse,DAL,Dallas Mavericks
1630230,Naji Marshall,DAL,Dallas Mavericks
1629023,P.J. Washington,DAL,Dallas Mavericks
1642948,Ryan Nembhard,DAL,Dallas Mavericks
1641890,Tyler Smith,DAL,Dallas Mavericks
203932,Aaron Gordon,DEN,Denver Nuggets
1628971,Bruce Brown,DEN,Denver Nuggets
1629661,Cameron Johnson,DEN,Denver Nuggets
1631128,Christian Braun,DEN,Denver Nuggets
1642938,Curtis Jones,DEN,Denver Nuggets
1641747,DaRon Holmes II,DEN,Denver Nuggets
1631223,David Roddy,DEN,Denver Nuggets
1629618,Jalen Pickett,DEN,Denver Nuggets
1627750,Jamal Murray,DEN,Denver Nuggets
202685,Jonas Valančiūnas,DEN,Denver Nuggets
1631124,Julian Strawther,DEN,Denver Nuggets
1642354,KJ Simpson,DEN,Denver Nuggets
203999,Nikola Jokić,DEN,Denver Nuggets
1631212,Peyton Watson,DEN,Denver Nuggets
1642461,Spencer Jones,DEN,Denver Nuggets
203501,Tim Hardaway Jr.,DEN,Denver Nuggets
1626145,Tyus Jones,DEN,Denver Nuggets
1630192,Zeke Nnaji,DEN,Denver Nuggets
1641709,Ausar Thompson,DET,Detroit Pistons
1641752,Bobi Klintman,DET,Detroit Pistons
1630595,Cade Cunningham,DET,Detroit Pistons
1627747,Caris LeVert,DET,Detroit Pistons
1642404,Chaz Lanier,DET,Detroit Pistons
1642450,Daniss Jenkins,DET,Detroit Pistons
1629130,Duncan Robinson,DET,Detroit Pistons
1642403,Isaac Jones,DET,Detroit Pistons
1630191,Isaiah Stewart,DET,Detroit Pistons
1631105,Jalen Duren,DET,Detroit Pistons
1629750,Javonte Green,DET,Detroit Pistons
1628989,Kevin Huerter,DET,Detroit Pistons
1631204,Marcus Sasser,DET,Detroit Pistons
1630194,Paul Reed,DET,Detroit Pistons
1641842,Ronald Holland II,DET,Detroit Pistons
202699,Tobias Harris,DET,Detroit Pistons
1642449,Tolu Smith,DET,Detroit Pistons
1631111,Wendell Moore Jr.,DET,Detroit Pistons
201143,Al Horford,GSW,Golden State Warriors
1641764,Brandin Podziemski,GSW,Golden State Warriors
1629001,De'Anthony Melton,GSW,Golden State Warriors
203110,Draymond Green,GSW,Golden State Warriors
1627780,Gary Payton II,GSW,Golden State Warriors
1630611,Gui Santos,GSW,Golden State Warriors
202710,Jimmy Butler III,GSW,Golden State Warriors
204001,Kristaps Porziņģis,GSW,Golden State Warriors
1643018,LJ Cryer,GSW,Golden State Warriors
1642502,Malevy Leons,GSW,Golden State Warriors
1630541,Moses Moody,GSW,Golden State Warriors
1631466,Nate Williams,GSW,Golden State Warriors
1630209,Omer Yurtseven,GSW,Golden State Warriors
1630311,Pat Spencer,GSW,Golden State Warriors
1642366,Quinten Post,GSW,Golden State Warriors
203552,Seth Curry,GSW,Golden State Warriors
201939,Stephen Curry,GSW,Golden State Warriors
1642954,Will Richard,GSW,Golden State Warriors
1628988,Aaron Holiday,HOU,Houston Rockets
1630578,Alperen Sengun,HOU,Houston Rockets
1641708,Amen Thompson,HOU,Houston Rockets
203991,Clint Capela,HOU,Houston Rockets
1627827,Dorian Finney-Smith,HOU,Houston Rockets
1627832,Fred VanVleet,HOU,Houston Rockets
1642384,Isaiah Crawford,HOU,Houston Rockets
1631120,JD Davison,HOU,Houston Rockets
1631095,Jabari Smith Jr.,HOU,Houston Rockets
1630256,Jae'Sean Tate,HOU,Houston Rockets
201145,Jeff Green,HOU,Houston Rockets
1629006,Josh Okogie,HOU,Houston Rockets
201142,Kevin Durant,HOU,Houston Rockets
1642263,Reed Sheppard,HOU,Houston Rockets
203500,Steven Adams,HOU,Houston Rockets
1631106,Tari Eason,HOU,Houston Rockets
1641803,Tristen Newton,HOU,Houston Rockets
1630174,Aaron Nesmith,IND,Indiana Pacers
1629614,Andrew Nembhard,IND,Indiana Pacers
1641767,Ben Sheppard,IND,Indiana Pacers
1630679,Ethan Thompson,IND,Indiana Pacers
1627826,Ivica Zubac,IND,Indiana Pacers
