player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts,q1_pure_ts,q1_sp,q1_std_ts,q1_delta,q2_pure_ts,q2_sp,q2_std_ts,q2_delta,q3_pure_ts,q3_sp,q3_std_ts,q3_delta,q4_pure_ts,q4_sp,q4_std_ts,q4_delta,q1_pts,q1_fgm,q1_fga,q1_fg3m,q1_fg3a,q1_ftm,q1_fta,q2_pts,q2_fgm,q2_fga,q2_fg3m,q2_fg3a,q2_ftm,q2_fta,q3_pts,q3_fgm,q3_fga,q3_fg3m,q3_fg3a,q3_ftm,q3_fta,q4_pts,q4_fgm,q4_fga,q4_fg3m,q4_fg3a,q4_ftm,q4_fta
1630173,Precious Achiuwa,TOR,0022100534,"Dec 31, 2021",LAC,4,3,2,4,44.44,51.55,-7.1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,4,51.55,-7.1,,0,,,,0,,,,0,,,4,1,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100545,"Jan 02, 2022",NYK,2,5,0,5,20.0,20.0,0.0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,50.0,2,50.0,0.0,,0,,,0.0,3,0.0,0.0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100563,"Jan 04, 2022",SAS,10,4,9,8,55.56,62.81,-7.26,2,2,1,0,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,100.0,1,113.64,-13.64,0.0,1,0.0,0.0,,0,,,61.54,6,65.79,-4.25,2,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,2,3,0,0,4,7
1630173,Precious Achiuwa,TOR,0022100573,"Jan 05, 2022",MIL,6,6,2,7,40.0,43.6,-3.6,5,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0.0,3,0.0,0.0,,0,,,66.67,4,77.32,-10.65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,2,3,1,1,1,2
1630173,Precious Achiuwa,TOR,0022100584,"Jan 07, 2022",UTA,9,7,2,9,50.0,57.11,-7.11,6,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,,20.0,5,25.0,-5.0,,0,,,87.5,4,90.21,-2.71,0,0,0,0,0,0,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,7,3,3,0,0,1,2
1630173,Precious Achiuwa,TOR,0022100599,"Jan 09, 2022",NOP,6,6,0,6,46.15,50.0,-3.85,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,40.0,2,50.0,-10.0,100.0,2,100.0,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,4,2,2,0,0,0,0,0,0,2,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100613,"Jan 11, 2022",PHX,6,7,0,7,37.5,42.86,-5.36,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,4,50.0,-5.56,,0,,,,0,,,28.57,3,33.33,-4.76,4,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0
1630173,Precious Achiuwa,TOR,0022100633,"Jan 14, 2022",DET,4,7,0,7,26.67,28.57,-1.9,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,4,25.0,0.0,,0,,,0.0,1,0.0,0.0,40.0,2,50.0,-10.0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,1,0,0
1630173,Precious Achiuwa,TOR,0022100641,"Jan 15, 2022",MIL,14,13,0,13,48.28,53.85,-5.57,10,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,3,33.33,-4.76,100.0,1,100.0,0.0,54.55,5,60.0,-5.45,44.44,4,50.0,-5.56,2,1,3,0,1,0,0,2,1,1,0,0,0,0,6,3,5,0,1,0,0,4,2,4,0,1,0,0
1630173,Precious Achiuwa,TOR,0022100662,"Jan 17, 2022",MIA,6,8,0,8,35.29,37.5,-2.21,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,2,50.0,0.0,22.22,4,25.0,-2.78,,0,,,50.0,2,50.0,0.0,2,1,2,0,0,0,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0
